"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"581","Jabari Walker","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"582","Jaden Hardy","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"583","Jaden Ivey","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"584","Jaden McDaniels","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"585","Jae'Sean Tate","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"586","Jahmai Mashack","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"587","Jahmir Young","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"588","Jaime Jaquez Jr.","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"589","Jake LaRavia","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"590","Jalen Brunson","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"591","Jalen Green","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"592","Jalen Johnson","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"593","Jalen Pickett","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"594","Jalen Smith","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"595","Jalen Suggs","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"596","Jalen Williams","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"597","Jalen Wilson","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"598","Jamal Cain","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"599","Jamal Murray","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"600","Jamal Shead","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"601","Jamaree Bouyea","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"602","James Harden","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"603","Jamir Watkins","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"604","Jamison Battle","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"605","Jarace Walker","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"606","Jared McCain","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"607","Jaren Jackson Jr.","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"608","Jarred Vanderbilt","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"609","Jarrett Allen","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"610","Jase Richardson","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"611","Javon Small","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"612","Javonte Green","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"613","Jay Huff","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"614","Jaylen Brown","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"615","Jaylen Clark","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"616","Jaylen Wells","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"617","Jaylin Williams","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"618","Jaylon Tyson","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"619","Jeff Green","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"620","Jerami Grant","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"621","Jeremiah Fears","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"622","Jeremiah Robinson-Earl","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"623","Jeremy Sochan","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"624","Jett Howard","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"625","Jevon Carter","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"626","Jimmy Butler","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"627","Jock Landale","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"628","Joel Embiid","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"629","John Collins","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"630","John Konchar","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"631","Johnny Furphy","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"632","Johnny Juzang","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"633","Jonathan Isaac","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"634","Jonathan Kuminga","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"635","Jordan Clarkson","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"636","Jordan Goodwin","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"637","Jordan Hawkins","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"638","Jordan McLaughlin","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"639","Jordan Miller","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"640","Jordan Poole","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"641","Jordan Walsh","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"642","Jose Alvarado","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"643","Josh Giddey","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"644","Josh Green","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"645","Josh Hart","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"646","Josh Minott","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"647","Josh Okogie","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"648","Jrue Holiday","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"649","Julian Champagnie","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"650","Julian Phillips","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"651","Julian Strawther","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"652","Julius Randle","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"653","Justin Champagnie","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"654","Justin Edwards","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"655","Jusuf Nurkić","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"656","KJ Simpson","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"657","Kam Jones","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"658","Karl-Anthony Towns","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"659","Karlo Matković","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"660","Kasparas Jakučionis","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"661","Kawhi Leonard","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"662","Keaton Wallace","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"663","Keegan Murray","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"664","Kel'el Ware","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"665","Keldon Johnson","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"666","Kelly Olynyk","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"667","Kelly Oubre Jr.","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"668","Kenrich Williams","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"669","Kentavious Caldwell-Pope","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"670","Keon Ellis","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"671","Keshad Johnson","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"672","Kevin Durant","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"673","Kevin Huerter","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"674","Kevin Love","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"675","Kevin McCullar Jr.","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"676","Kevin Porter Jr.","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"677","Kevon Looney","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"678","Keyonte George","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"679","Khris Middleton","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"680","Klay Thompson","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"681","Kobe Brown","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"682","Kobe Sanders","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"683","Kon Knueppel","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"684","Kris Dunn","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"685","Kris Murray","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"686","Kristaps Porziņģis","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"687","Kyle Anderson","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"688","Kyle Filipowski","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"689","Kyle Kuzma","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"690","Kyle Lowry","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"691","Kyshawn George","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"692","LaMelo Ball","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"693","Landry Shamet","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"694","Larry Nance Jr.","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"695","Lauri Markkanen","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"696","LeBron James","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"697","Leonard Miller","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"698","Liam McNeeley","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"699","Lindy Waters III","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"700","Lonzo Ball","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"701","Luguentz Dort","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"702","Luka Dončić","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"703","Luka Garza","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"704","Luke Kennard","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"705","Luke Travers","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"706","Malaki Branham","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"707","Malik Monk","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"708","Marcus Sasser","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"709","Marcus Smart","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"710","Mark Williams","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"711","Marvin Bagley III","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"712","Matas Buzelis","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"713","Max Christie","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"714","Maxi Kleber","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"715","Maxime Raynaud","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"716","Micah Peavy","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"717","Micah Potter","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"718","Michael Porter Jr.","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"719","Mikal Bridges","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"720","Mike Conley","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"721","Miles Bridges","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"722","Miles McBride","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"723","Mohamed Diawara","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"724","Monte Morris","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"725","Moses Moody","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"726","Mouhamed Gueye","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"727","Myles Turner","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"728","Myron Gardner","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"729","Nae'Qwan Tomlin","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"730","Naji Marshall","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"731","Naz Reid","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"732","Nic Claxton","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"733","Nick Smith Jr.","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"734","Nickeil Alexander-Walker","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"735","Nicolas Batum","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"736","Nigel Hayes-Davis","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"737","Nikola Jokić","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"738","Nikola Jović","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"739","Nikola Vučević","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"740","Nique Clifford","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"741","Noah Clowney","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"742","Noah Penda","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"743","Nolan Traoré","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"744","Norman Powell","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"745","OG Anunoby","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"746","Obi Toppin","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"747","Ochai Agbaji","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"748","Olivier-Maxence Prosper","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"749","Onyeka Okongwu","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"750","Ousmane Dieng","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"751","P.J. Washington","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"752","PJ Hall","2TM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"753","PJ Hall","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"754","Paolo Banchero","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"755","Pascal Siakam","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"756","Pat Connaughton","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"757","Pat Spencer","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"758","Patrick Williams","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"759","Paul George","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"760","Paul Reed","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"761","Payton Pritchard","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"762","Pelle Larsson","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"763","Pete Nance","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"764","Peyton Watson","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"765","Precious Achiuwa","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"766","Quentin Grimes","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"767","Quenton Jackson","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"768","Quinten Post","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"769","RJ Barrett","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"770","Rasheer Fleming","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"771","RayJ Dennis","2TM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"772","RayJ Dennis","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"773","Rayan Rupert","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"774","Reed Sheppard","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"775","Riley Minix","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"776","Rob Dillingham","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"777","Robert Williams","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"778","Ron Harper Jr.","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"779","Ron Holland","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"780","Royce O'Neale","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"781","Rui Hachimura","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"782","Russell Westbrook","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"783","Ryan Dunn","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"784","Ryan Nembhard","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"785","Ryan Rollins","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"786","Saddiq Bey","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"787","Sam Hauser","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"788","Sam Merrill","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"789","Sandro Mamukelashvili","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"790","Santi Aldama","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"791","Scottie Barnes","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"792","Shaedon Sharpe","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"793","Shai Gilgeous-Alexander","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"794","Sidy Cissoko","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
