"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"428","Aaron Nesmith","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"429","Aaron Wiggins","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"430","Ace Bailey","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"431","Adem Bona","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"432","Ajay Mitchell","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"433","Al Horford","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"434","Alex Caruso","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"435","Alex Sarr","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"436","Alperen Şengün","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"437","Amen Thompson","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"438","Amir Coffey","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"439","Andre Drummond","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"440","Andre Jackson Jr.","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"441","Andrew Nembhard","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"442","Andrew Wiggins","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"443","Anfernee Simons","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"444","Anthony Black","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"445","Anthony Davis","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"446","Anthony Edwards","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"447","Anthony Gill","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"448","Antonio Reeves","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"449","Asa Newell","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"450","Ausar Thompson","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"451","Austin Reaves","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"452","Ayo Dosunmu","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"453","Bam Adebayo","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"454","Baylor Scheierman","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"455","Ben Saraf","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"456","Ben Sheppard","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"457","Bennedict Mathurin","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"458","Bilal Coulibaly","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"459","Blake Wesley","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"460","Bobby Portis","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"461","Bobi Klintman","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"462","Bogdan Bogdanović","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"463","Bones Hyland","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"464","Bradley Beal","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"465","Branden Carlson","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"466","Brandin Podziemski","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"467","Brandon Ingram","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"468","Brandon Miller","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"469","Brandon Williams","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"470","Brice Sensabaugh","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"471","Bronny James","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"472","Brook Lopez","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"473","Brooks Barnhizer","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"474","Bruce Brown","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"475","Bryce McGowens","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"476","Bub Carrington","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"477","Buddy Hield","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"478","CJ McCollum","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"479","Cade Cunningham","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"480","Caleb Houstan","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"481","Caleb Love","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"482","Caleb Martin","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"483","Cam Christie","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"484","Cam Spencer","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"485","Cam Thomas","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"486","Cam Whitmore","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"487","Cameron Johnson","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"488","Caris LeVert","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"489","Carter Bryant","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"490","Cason Wallace","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"491","Cedric Coward","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"492","Chaz Lanier","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"493","Chet Holmgren","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"494","Chris Boucher","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"495","Chris Paul","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"496","Chris Youngblood","OKC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"497","Christian Braun","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"498","Coby White","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"499","Cody Williams","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"500","Cole Anthony","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
