"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"284","Kevin Durant","HOU",0.065,0.423,0.806,12.1,9,470,26,380,96,18,84,80,"Rate"
"285","Kevin Huerter","CHI",0.253,0.692,0.761,4.3,58,217,71,151,63,191,74,135,"Rate"
"286","Kevin Love","UTA",0.151,0.467,0.563,1.4,32,352,31,353,25,388,19,416,"Rate"
"287","Kevin McCullar Jr.","NYK",0.182,1,1,0.3,39,311,97,14,4,494,95,26,"Rate"
"288","Kevin Porter Jr.","MIL",0.227,0.281,0.652,8.2,52,249,11,455,85,75,37,326,"Rate"
"289","Kevon Looney","NOP",0.512,0.4,0.571,2.4,90,49,25,388,42,296,22,403,"Rate"
"290","Keyonte George","UTA",0.076,0.488,0.756,9.8,12,450,34,341,91,47,74,136,"Rate"
"291","Khaman Maluach","PHO",0.5,1,0.625,0.8,89,58,97,15,12,450,29,363,"Rate"
"292","Khris Middleton","WAS",0.143,0.435,0.64,6,27,374,27,374,75,130,33,342,"Rate"
"293","Klay Thompson","DAL",0.048,0.868,0.563,2.9,7,477,92,42,49,260,19,417,"Rate"
"294","Kobe Brown","LAC",0.154,0.643,0.8,1.1,31,353,61,199,19,418,81,97,"Rate"
"295","Kobe Sanders","LAC",0.148,0.586,0.765,2.4,31,354,52,248,42,297,73,137,"Rate"
"296","Koby Brea","PHO",0.333,0,1,0.5,72,144,4,491,7,479,95,27,"Rate"
"297","Kon Knueppel","CHO",0.14,0.567,0.661,5.4,27,375,49,262,72,144,39,313,"Rate"
"298","Kris Dunn","LAC",0.188,0.563,0.789,3.3,41,303,46,275,54,234,80,105,"Rate"
"299","Kris Murray","POR",0.361,0.685,0.696,2.8,76,123,70,152,48,267,55,230,"Rate"
"300","Kristaps Porziņģis","ATL",0.196,0.603,0.686,7.8,44,287,54,237,84,83,51,253,"Rate"
"301","Kyle Anderson","UTA",0.224,0.522,0.545,5.3,49,263,41,301,71,147,17,426,"Rate"
"302","Kyle Filipowski","UTA",0.179,0.713,0.756,4.6,39,312,73,138,66,176,73,138,"Rate"
"303","Kyle Kuzma","MIL",0.346,0.654,0.785,7.2,74,133,63,189,81,100,78,114,"Rate"
"304","Kyshawn George","WAS",0.168,0.287,0.679,6.2,37,324,12,452,76,123,48,268,"Rate"
"305","LaMelo Ball","CHO",0.138,0.131,0.63,8,27,376,7,480,85,77,32,348,"Rate"
"306","Lachlan Olbrich","CHI",0.333,1,0.5,0.6,72,145,97,16,9,470,13,445,"Rate"
"307","Landry Shamet","NYK",0.161,0.643,0.6,1.8,34,339,61,200,32,351,26,381,"Rate"
"308","Larry Nance Jr.","CLE",0.323,0.769,0.571,2,70,153,82,91,37,326,21,404,"Rate"
"309","Lauri Markkanen","UTA",0.2,0.726,0.716,11.4,44,288,77,120,94,29,62,195,"Rate"
"310","LeBron James","LAL",0.243,0.495,0.679,10.5,54,235,36,330,92,40,48,269,"Rate"
"311","Leonard Miller","MIN",0.444,0.778,0.875,0.9,85,76,83,85,14,443,91,48,"Rate"
"312","Liam McNeeley","CHO",0.132,0.636,0.7,1.1,24,389,61,201,18,419,55,232,"Rate"
"313","Lindy Waters III","SAS",0.03,0.333,0,0.2,6,485,16,431,3,499,5,487,"Rate"
"314","Lonzo Ball","CLE",0.118,0.538,0.588,1.1,21,406,44,288,18,420,24,390,"Rate"
"315","Luguentz Dort","OKC",0.122,0.652,0.739,1.8,21,407,63,190,32,352,68,163,"Rate"
"316","Luka Dončić","LAL",0.074,0.198,0.925,12,10,461,8,472,96,21,92,43,"Rate"
"317","Luka Garza","BOS",0.408,0.512,0.725,2.7,82,91,39,313,47,272,62,196,"Rate"
"318","Luke Kennard","ATL",0.127,0.629,0.5,2,24,390,60,207,36,327,13,446,"Rate"
"319","Luke Kornet","SAS",0.807,0.8,0.728,4.6,98,8,86,71,66,177,65,182,"Rate"
"320","Luke Travers","CLE",0.361,0.625,0.462,1.7,76,124,58,216,29,365,11,457,"Rate"
"321","Mac McClung","IND",0.222,0.8,0.75,2.7,49,264,86,72,47,273,71,150,"Rate"
"322","Malaki Branham","WAS",0.255,0.471,0.75,1.7,61,200,31,354,29,366,71,151,"Rate"
"323","Malik Monk","SAC",0.087,0.471,0.625,5.4,14,443,31,355,72,145,29,364,"Rate"
