"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"469","Vit Krejci","ATL",0.079,0.9,0.778,1.5,12,454,93,36,25,383,76,122,"Rate"
"470","Walker Kessler","UTA",0.459,0.6,0.647,5.8,86,74,53,243,73,137,35,332,"Rate"
"471","Walter Clayton","UTA",0.056,0.368,0.5,2.4,8,474,20,412,41,302,12,453,"Rate"
"472","Wendell Carter Jr.","ORL",0.303,0.725,0.756,5.1,67,171,75,130,70,155,72,143,"Rate"
"473","Wendell Moore Jr.","DET",0.167,0.333,1,1.7,36,331,16,433,28,369,93,38,"Rate"
"474","Will Richard","GSW",0.208,0.622,0.938,2,46,278,57,220,35,334,92,40,"Rate"
"475","Will Riley","WAS",0.183,0.571,0.737,2.7,39,314,48,266,46,275,67,168,"Rate"
"476","Xavier Tillman Sr.","BOS",0.214,0.727,0.833,1.4,46,279,76,123,24,389,87,69,"Rate"
"477","Yang Hansen","POR",0.24,0.5,0.75,1.7,53,244,34,338,28,370,70,156,"Rate"
"478","Yanic Konan Niederhäuser","LAC",0.586,0.81,0.765,1.8,92,40,88,64,31,357,72,144,"Rate"
"479","Yves Missi","NOP",0.717,0.574,0.658,3.9,97,16,48,267,59,209,38,318,"Rate"
"480","Zaccharie Risacher","ATL",0.304,0.747,0.656,4.9,67,172,78,113,68,165,38,319,"Rate"
"481","Zach Collins","CHI",0.422,0.821,0.778,4.3,83,88,89,59,63,192,76,123,"Rate"
"482","Zach Edey","MEM",0.418,0.82,0.732,8.5,83,89,88,60,86,71,63,189,"Rate"
"483","Zach LaVine","SAC",0.162,0.631,0.764,7.7,33,344,59,212,83,86,72,145,"Rate"
"484","Zeke Nnaji","DEN",0.517,0.667,0.733,0.8,91,48,65,182,11,455,63,190,"Rate"
"485","Ziaire Williams","BRK",0.164,0.613,0.828,1.9,33,345,55,230,32,347,86,70,"Rate"
"486","Zion Williamson","NOP",0.596,0.48,0.679,13.9,93,37,32,348,99,7,46,278,"Rate"
"487","A.J. Green","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"488","A.J. Lawson","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"489","AJ Johnson","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"490","Aaron Gordon","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"491","Aaron Holiday","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"492","Aaron Nesmith","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"493","Aaron Wiggins","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"494","Ace Bailey","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"495","Adem Bona","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"496","Adou Thiero","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"497","Ajay Mitchell","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"498","Al Horford","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"499","Alex Caruso","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"500","Alex Sarr","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"501","Alperen Şengün","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"502","Amen Thompson","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"503","Amir Coffey","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"504","Andre Drummond","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"505","Andre Jackson Jr.","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"506","Andrew Nembhard","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"507","Andrew Wiggins","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"508","Anfernee Simons","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"509","Anthony Black","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"510","Anthony Davis","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"511","Anthony Edwards","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"512","Anthony Gill","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"513","Antonio Reeves","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"514","Ariel Hukporti","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"515","Asa Newell","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"516","Ausar Thompson","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"517","Austin Reaves","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"518","Ayo Dosunmu","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"519","Bam Adebayo","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"520","Baylor Scheierman","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"521","Ben Saraf","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"522","Ben Sheppard","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"523","Bennedict Mathurin","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"524","Bilal Coulibaly","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"525","Bismack Biyombo","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"526","Blake Wesley","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"527","Bobby Portis","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"528","Bobi Klintman","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"529","Bogdan Bogdanović","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"530","Bones Hyland","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"531","Bradley Beal","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"532","Branden Carlson","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"533","Brandin Podziemski","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"534","Brandon Clarke","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"535","Brandon Ingram","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"536","Brandon Miller","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"537","Brandon Williams","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"538","Brice Sensabaugh","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"539","Bronny James","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"540","Brook Lopez","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"541","Brooks Barnhizer","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"542","Bruce Brown","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"543","Bryce McGowens","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"544","Bub Carrington","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"545","Buddy Hield","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"546","CJ McCollum","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"547","Cade Cunningham","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"548","Caleb Houstan","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"549","Caleb Love","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"550","Caleb Martin","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"551","Cam Christie","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"552","Cam Spencer","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"553","Cam Thomas","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"554","Cam Whitmore","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"555","Cameron Johnson","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"556","Caris LeVert","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"557","Carter Bryant","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"558","Cason Wallace","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"559","Cedric Coward","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"560","Charles Bassey","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"561","Chet Holmgren","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"562","Chris Boucher","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"563","Chris Livingston","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"564","Chris Paul","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"565","Chris Youngblood","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"566","Christian Braun","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"567","Christian Koloko","2TM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"568","Christian Koloko","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"569","Clint Capela","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"570","Coby White","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"571","Cody Martin","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"572","Cody Williams","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"573","Cole Anthony","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"574","Collin Gillespie","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"575","Collin Murray-Boyles","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"576","Collin Sexton","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"577","Cooper Flagg","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"578","Corey Kispert","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"579","Craig Porter Jr.","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"580","Curtis Jones","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"581","D'Angelo Russell","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"582","DaRon Holmes","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"583","Daeqwon Plowden","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"584","Dalen Terry","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"585","Dalton Knecht","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"586","Daniel Gafford","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"587","Daniss Jenkins","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"588","Danny Wolf","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"589","Darius Garland","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"590","David Jones García","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"591","Davion Mitchell","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"592","Day'Ron Sharpe","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"593","De'Aaron Fox","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"594","De'Andre Hunter","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"595","De'Anthony Melton","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"596","DeAndre Jordan","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"597","DeMar DeRozan","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"598","Dean Wade","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"599","Deandre Ayton","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"600","Deni Avdija","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"601","Dennis Schröder","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"602","Dereck Lively II","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"603","Derik Queen","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"604","Derrick Jones Jr.","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"605","Derrick White","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"606","Desmond Bane","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"607","Devin Booker","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"608","Devin Carter","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"609","Devin Vassell","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"610","Dillon Brooks","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"611","Domantas Sabonis","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"612","Dominick Barlow","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"613","Donovan Clingan","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"614","Donovan Mitchell","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"615","Donte DiVincenzo","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"616","Drake Powell","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"617","Draymond Green","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"618","Drew Eubanks","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"619","Drew Peterson","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"620","Dru Smith","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"621","Duncan Robinson","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"622","Duop Reath","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"623","Dwight Powell","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"624","Dylan Cardwell","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"625","Dylan Harper","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"626","Dyson Daniels","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"627","E.J. Liddell","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"628","Egor Dёmin","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"629","Elijah Harkless","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"630","Emanuel Miller","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"631","Eric Gordon","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"632","Ethan Thompson","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"633","Evan Mobley","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"634","Franz Wagner","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"635","GG Jackson II","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"636","Gabe Vincent","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"637","Garrison Mathews","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"638","Gary Harris","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"639","Gary Payton II","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"640","Gary Trent Jr.","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"641","Giannis Antetokounmpo","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"642","Goga Bitadze","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"643","Gradey Dick","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"644","Grayson Allen","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"645","Guerschon Yabusele","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"646","Gui Santos","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"647","Harrison Barnes","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"648","Harrison Ingram","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"649","Herbert Jones","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"650","Hugo González","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"651","Hunter Sallis","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"652","Hunter Tyson","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"653","Immanuel Quickley","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"654","Isaac Jones","2TM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"655","Isaac Jones","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"656","Isaac Jones","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"657","Isaac Okoro","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"658","Isaiah Collier","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"659","Isaiah Hartenstein","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"660","Isaiah Jackson","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"661","Isaiah Joe","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"662","Isaiah Livers","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"663","Isaiah Stewart","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"664","Ivica Zubac","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"665","JD Davison","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"666","Ja Morant","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"667","Ja'Kobe Walter","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"668","Jabari Smith Jr.","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"669","Jabari Walker","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"670","Jacob Toppin","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"671","Jaden Hardy","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"672","Jaden Ivey","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"673","Jaden McDaniels","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"674","Jae'Sean Tate","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"675","Jahmir Young","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"676","Jaime Jaquez Jr.","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"677","Jake LaRavia","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"678","Jakob Poeltl","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"679","Jalen Brunson","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"680","Jalen Duren","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"681","Jalen Green","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"682","Jalen Johnson","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"683","Jalen Pickett","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"684","Jalen Smith","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"685","Jalen Suggs","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
