Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
110,Stephen Curry,37,GSW,PG,25,25,799,0.468,19.4,0.394,0.120,0.153,0.064,0.056,0.606,0.582,0.667,0.566,0.531,0.500,0.394,0.474,0.706,0.002,0,0.063,0.526,0,0,,curryst01
111,Paolo Banchero,23,ORL,PF,24,24,797,0.442,11.5,0.766,0.239,0.288,0.179,0.060,0.234,0.505,0.724,0.457,0.308,0.455,0.235,0.433,0.950,0.058,17,0.129,0.273,0,0,,banchpa01
112,Deandre Ayton,27,LAL,C,27,27,795,0.706,5.7,1.000,0.424,0.351,0.179,0.046,0.000,0.706,0.838,0.652,0.511,0.667,,0.816,,0.214,51,,,0,0,,aytonde01
113,Kris Murray,25,POR,SF,31,8,794,0.465,12.0,0.568,0.361,0.206,0.000,0.000,0.432,0.614,0.696,0.469,,,0.269,0.685,1.000,0.148,22,0.567,0.263,0,0,,murrakr01
114,Jake LaRavia,24,LAL,PF,31,10,791,0.447,13.3,0.571,0.274,0.228,0.055,0.014,0.429,0.552,0.733,0.400,0.333,0.333,0.309,0.638,1.000,0.073,15,0.415,0.308,1,0,,laravja01
115,Donovan Clingan,21,POR,C,30,30,789,0.536,10.7,0.665,0.429,0.206,0.009,0.021,0.335,0.639,0.690,0.542,0.500,0.600,0.333,0.566,0.962,0.159,33,0.128,0.200,0,0,,clingdo01
116,Jerami Grant,31,POR,PF,26,14,789,0.436,14.4,0.534,0.246,0.204,0.056,0.028,0.466,0.476,0.682,0.315,0.250,0.300,0.389,0.462,0.985,0.045,14,0.359,0.450,0,0,,grantje01
117,Moses Moody,23,GSW,SG,32,21,788,0.406,18.6,0.342,0.132,0.132,0.050,0.028,0.658,0.469,0.703,0.378,0.214,0.250,0.373,0.667,0.986,0.025,6,0.335,0.387,0,0,,moodymo01
118,Zaccharie Risacher,20,ATL,SF,32,32,778,0.453,14.9,0.530,0.304,0.111,0.037,0.078,0.470,0.554,0.656,0.485,0.364,0.348,0.338,0.747,0.936,0.115,29,0.338,0.404,0,0,,risacza01
119,De'Aaron Fox,28,SAS,PG,24,24,776,0.478,14.7,0.627,0.187,0.212,0.143,0.084,0.373,0.543,0.699,0.506,0.411,0.515,0.370,0.256,0.500,0.005,2,0.151,0.455,0,0,,foxde01
120,Bam Adebayo,28,MIA,C,25,25,774,0.467,13.4,0.690,0.162,0.258,0.212,0.058,0.310,0.534,0.679,0.494,0.521,0.350,0.318,0.661,0.971,0.070,22,0.364,0.333,0,0,,adebaba01
121,Reed Sheppard,21,HOU,SG,30,4,773,0.455,19.8,0.421,0.056,0.118,0.164,0.084,0.579,0.500,0.833,0.474,0.396,0.519,0.422,0.338,0.759,0.022,7,0.160,0.600,0,0,,sheppre01
122,Keldon Johnson,26,SAS,SF,33,0,764,0.576,10.1,0.677,0.427,0.236,0.007,0.007,0.323,0.656,0.699,0.574,0.500,1.000,0.409,0.547,0.921,0.066,18,0.495,0.391,0,0,,johnske04
123,Ausar Thompson,23,DET,SF,29,28,763,0.511,6.3,0.936,0.405,0.398,0.106,0.027,0.064,0.526,0.645,0.467,0.393,0.143,0.294,0.554,1.000,0.159,37,0.353,0.333,0,0,,thompau01
124,Draymond Green,35,GSW,PF,28,28,763,0.422,16.8,0.413,0.243,0.112,0.044,0.015,0.587,0.541,0.640,0.478,0.222,0.333,0.339,0.826,1.000,0.015,2,0.314,0.395,0,0,,greendr01
125,Dean Wade,29,CLE,PF,33,12,762,0.395,19.2,0.257,0.204,0.018,0.018,0.018,0.743,0.605,0.618,0.667,0.333,0.667,0.323,0.808,0.975,0.048,7,0.371,0.391,0,0,,wadede01
126,Anfernee Simons,26,BOS,SG,32,0,758,0.425,19.3,0.428,0.064,0.153,0.101,0.110,0.572,0.500,0.636,0.547,0.486,0.368,0.369,0.176,0.699,0.006,2,0.076,0.467,0,0,,simonan01
127,Zach LaVine,30,SAC,SG,23,23,754,0.487,16.7,0.525,0.162,0.189,0.047,0.127,0.475,0.579,0.764,0.547,0.563,0.395,0.385,0.631,0.758,0.071,22,0.186,0.467,0,0,,lavinza01
128,Bennedict Mathurin,23,IND,SF,23,23,752,0.428,16.3,0.537,0.183,0.167,0.090,0.096,0.463,0.479,0.596,0.365,0.500,0.433,0.368,0.525,0.698,0.023,6,0.160,0.522,0,0,,mathube01
129,Kawhi Leonard,34,LAC,SF,22,22,745,0.499,15.5,0.660,0.096,0.197,0.276,0.091,0.340,0.557,0.732,0.512,0.559,0.462,0.386,0.357,0.661,0.035,12,0.124,0.333,0,0,,leonaka01
130,Moussa Diabaté,24,CHO,C,32,6,744,0.618,3.0,1.000,0.675,0.287,0.025,0.013,0.000,0.618,0.717,0.444,0.250,0.000,,0.670,,0.312,43,,,0,0,,diabamo01
131,Vit Krejci,25,ATL,PG,31,2,743,0.498,21.5,0.201,0.079,0.083,0.031,0.009,0.799,0.652,0.778,0.632,0.286,1.000,0.459,0.900,0.952,0.013,2,0.202,0.378,0,0,,krejcvi01
132,Svi Mykhailiuk,28,UTA,SF,30,30,743,0.477,18.3,0.336,0.126,0.173,0.019,0.019,0.664,0.625,0.593,0.649,0.750,0.500,0.401,0.667,0.930,0.028,3,0.408,0.466,0,0,,mykhasv01
133,Neemias Queta,26,BOS,C,30,30,742,0.662,3.8,0.985,0.561,0.369,0.045,0.010,0.015,0.672,0.784,0.562,0.333,0.000,0.000,0.771,,0.303,55,0.333,0.000,0,0,,quetane01
134,OG Anunoby,28,NYK,PF,23,23,741,0.446,14.6,0.504,0.326,0.080,0.072,0.025,0.496,0.540,0.711,0.182,0.350,0.000,0.350,0.680,0.979,0.159,40,0.496,0.397,0,0,,anunoog01
135,Cam Spencer,25,MEM,SG,32,4,740,0.498,20.1,0.361,0.063,0.110,0.133,0.055,0.639,0.522,0.563,0.393,0.618,0.500,0.485,0.438,0.785,0.000,0,0.098,0.563,0,0,,spencca01
136,Terance Mann,29,BRK,SG,28,28,739,0.441,13.9,0.570,0.240,0.184,0.106,0.039,0.430,0.529,0.698,0.394,0.474,0.286,0.325,0.370,0.800,0.045,5,0.416,0.281,0,0,,mannte01
137,Jusuf Nurkić,31,UTA,C,29,24,736,0.504,8.9,0.801,0.257,0.491,0.053,0.000,0.199,0.547,0.552,0.550,0.500,,0.333,0.697,1.000,0.031,6,0.044,0.500,0,0,,nurkiju01
138,Stephon Castle,21,SAS,PG,24,24,734,0.492,11.9,0.674,0.299,0.259,0.103,0.013,0.326,0.601,0.744,0.462,0.516,0.750,0.265,0.303,0.962,0.070,19,0.194,0.211,0,0,,castlst01
139,Jamal Shead,23,TOR,PG,35,1,724,0.359,16.7,0.447,0.184,0.198,0.055,0.009,0.553,0.402,0.575,0.256,0.333,0.500,0.325,0.385,0.897,0.000,0,0.167,0.200,0,0,,sheadja01
140,Tre Jones,26,CHI,PG,27,12,722,0.535,8.0,0.808,0.507,0.211,0.066,0.023,0.192,0.593,0.676,0.422,0.571,0.400,0.293,0.461,0.917,0.005,1,0.317,0.538,0,0,,jonestr01
141,Dennis Schröder,32,SAC,PG,26,12,721,0.405,15.5,0.616,0.092,0.254,0.169,0.102,0.384,0.440,0.500,0.403,0.417,0.517,0.349,0.182,0.711,0.000,0,0.147,0.375,0,0,,schrode01
142,Ace Bailey,19,UTA,SF,30,21,715,0.438,16.4,0.552,0.142,0.164,0.103,0.142,0.448,0.503,0.725,0.478,0.345,0.425,0.357,0.718,0.933,0.107,27,0.310,0.333,0,0,,baileac01
143,Jose Alvarado,27,NOP,PG,32,0,713,0.437,18.1,0.365,0.135,0.176,0.050,0.005,0.635,0.543,0.700,0.436,0.545,0.000,0.376,0.477,0.679,0.000,0,0.270,0.342,0,0,,alvarjo01
144,Sandro Mamukelashvili,26,TOR,C,34,7,710,0.518,12.8,0.560,0.397,0.148,0.016,0.000,0.440,0.618,0.716,0.395,0.250,,0.389,0.708,1.000,0.074,17,0.230,0.462,0,0,,mamuksa01
145,Ayo Dosunmu,26,CHI,SG,27,7,705,0.493,11.6,0.607,0.415,0.162,0.018,0.011,0.393,0.539,0.602,0.409,0.400,0.333,0.421,0.494,0.978,0.033,6,0.411,0.432,0,0,,dosunay01
146,Kyle Filipowski,22,UTA,C,31,11,697,0.472,12.1,0.629,0.179,0.397,0.044,0.009,0.371,0.556,0.756,0.495,0.400,0.000,0.329,0.713,1.000,0.083,17,0.506,0.349,0,0,,filipky01
147,Kentavious Caldwell-Pope,32,MEM,SG,32,13,696,0.402,17.7,0.498,0.087,0.169,0.110,0.132,0.502,0.450,0.526,0.486,0.417,0.379,0.355,0.776,0.846,0.014,2,0.191,0.381,0,0,,caldwke01
148,Tristan Da Silva,24,ORL,SF,30,10,696,0.434,15.5,0.492,0.168,0.238,0.070,0.016,0.508,0.508,0.707,0.466,0.235,0.250,0.363,0.574,0.978,0.066,12,0.355,0.455,0,0,,dasiltr01
149,Sam Hauser,28,BOS,PF,32,5,689,0.366,24.6,0.117,0.033,0.028,0.023,0.033,0.883,0.360,0.857,0.000,0.400,0.143,0.367,0.778,0.957,0.005,1,0.128,0.375,0,0,,hausesa01
150,Jock Landale,30,MEM,C,31,14,687,0.514,11.5,0.663,0.329,0.251,0.063,0.020,0.337,0.574,0.631,0.516,0.500,0.600,0.395,0.732,0.971,0.055,10,0.198,0.471,0,0,,landajo01
151,Luguentz Dort,26,OKC,SF,25,25,683,0.370,20.9,0.238,0.122,0.048,0.053,0.016,0.762,0.511,0.739,0.000,0.400,0.667,0.326,0.652,1.000,0.037,6,0.229,0.303,0,0,,dortlu01
152,Klay Thompson,35,DAL,SF,31,8,682,0.372,21.7,0.275,0.048,0.051,0.073,0.103,0.725,0.418,0.563,0.353,0.333,0.441,0.354,0.868,0.941,0.000,0,0.229,0.382,0,0,,thompkl01
153,Isaiah Stewart,24,DET,C,30,7,681,0.525,10.3,0.671,0.352,0.306,0.009,0.005,0.329,0.599,0.727,0.463,0.500,0.000,0.375,0.705,1.000,0.137,26,0.472,0.441,0,0,,stewais01
154,Egor Dёmin,19,BRK,PG,28,21,677,0.392,20.4,0.306,0.118,0.090,0.033,0.065,0.694,0.453,0.552,0.500,0.500,0.188,0.365,0.441,0.806,0.016,2,0.124,0.476,0,0,,demineg01
155,Jordan Clarkson,33,NYK,SG,33,0,676,0.443,15.1,0.519,0.190,0.204,0.111,0.014,0.481,0.527,0.655,0.542,0.313,0.250,0.353,0.506,0.939,0.017,5,0.410,0.333,0,0,,clarkjo01
156,Kevin Huerter,27,CHI,SF,28,8,673,0.472,15.7,0.457,0.253,0.155,0.042,0.008,0.543,0.645,0.761,0.488,0.636,0.000,0.326,0.692,0.957,0.026,7,0.236,0.441,0,0,,huertke01
157,Mark Williams,24,PHO,C,28,24,670,0.656,3.5,0.995,0.590,0.344,0.061,0.000,0.005,0.654,0.744,0.534,0.462,,1.000,0.725,1.000,0.311,62,1.000,1.000,0,0,,willima07
158,Brandon Williams,26,DAL,PG,30,9,666,0.423,11.2,0.710,0.305,0.269,0.100,0.036,0.290,0.520,0.671,0.360,0.536,0.400,0.185,0.301,0.933,0.025,7,0.247,0.100,1,0,,willibr03
159,Ryan Kalkbrenner,24,CHO,C,26,25,665,0.787,2.3,0.984,0.828,0.156,0.000,0.000,0.016,0.800,0.832,0.632,,,0.000,0.708,,0.434,51,0.000,,0,0,,kalkbry01
160,Jay Huff,27,IND,C,34,18,662,0.413,18.8,0.320,0.218,0.098,0.004,0.000,0.680,0.667,0.714,0.545,1.000,,0.294,0.792,1.000,0.116,23,0.124,0.158,0,0,,huffja01
161,LaMelo Ball,24,CHO,PG,23,23,653,0.409,17.6,0.471,0.138,0.197,0.115,0.020,0.529,0.457,0.630,0.338,0.444,0.500,0.367,0.131,0.763,0.003,1,0.130,0.444,0,0,,ballla01
162,Alex Sarr,20,WAS,C,23,23,653,0.503,10.0,0.782,0.273,0.391,0.088,0.030,0.218,0.547,0.767,0.434,0.483,0.200,0.347,0.688,1.000,0.118,37,0.083,0.333,0,0,,sarral01
163,Isaiah Hartenstein,27,OKC,C,24,24,645,0.644,4.9,0.978,0.494,0.356,0.128,0.000,0.022,0.659,0.798,0.563,0.391,,0.000,0.819,,0.339,55,0.500,0.000,0,0,,harteis01
164,Ron Holland,20,DET,SF,31,5,644,0.420,11.7,0.646,0.257,0.319,0.044,0.027,0.354,0.514,0.672,0.472,0.100,0.167,0.250,0.627,1.000,0.088,18,0.625,0.260,0,0,,hollaro01
165,Jordan Goodwin,27,PHO,PG,30,2,639,0.395,15.4,0.516,0.254,0.121,0.090,0.051,0.484,0.455,0.538,0.452,0.304,0.308,0.331,0.450,0.854,0.016,3,0.306,0.342,0,0,,goodwjo01
166,Nicolas Batum,37,LAC,PF,31,3,638,0.388,24.0,0.050,0.017,0.000,0.008,0.025,0.950,0.333,0.500,,0.000,0.333,0.391,0.500,1.000,0.000,0,0.443,0.412,0,0,,batumni01
167,Oso Ighodaro,23,PHO,PF,33,7,633,0.595,4.8,0.992,0.437,0.452,0.103,0.000,0.008,0.600,0.836,0.386,0.538,,0.000,0.760,,0.302,33,0.000,,0,0,,ighodos01
168,Tobias Harris,33,DET,PF,23,23,631,0.455,13.7,0.619,0.172,0.283,0.123,0.041,0.381,0.530,0.595,0.493,0.567,0.400,0.333,0.550,1.000,0.053,12,0.387,0.389,0,0,,harrito02
169,Luke Kennard,29,ATL,SG,31,0,627,0.484,18.4,0.389,0.127,0.108,0.076,0.076,0.611,0.574,0.500,0.471,0.750,0.667,0.427,0.629,1.000,0.000,0,0.354,0.441,0,0,,kennalu01
170,Josh Okogie,27,HOU,SG,30,21,627,0.459,14.4,0.473,0.274,0.185,0.007,0.007,0.527,0.493,0.625,0.333,0.000,0.000,0.429,0.588,1.000,0.116,13,0.623,0.396,0,0,,okogijo01
171,Victor Wembanyama,22,SAS,C,21,15,625,0.525,11.7,0.751,0.340,0.167,0.141,0.103,0.249,0.578,0.784,0.351,0.479,0.400,0.365,0.601,0.839,0.182,57,0.071,0.500,0,0,,wembavi01
172,Quinten Post,25,GSW,PF,34,20,619,0.424,18.4,0.345,0.140,0.144,0.031,0.031,0.655,0.582,0.750,0.485,0.429,0.429,0.340,0.652,0.980,0.048,11,0.333,0.320,0,0,,postqu01
173,Malik Monk,27,SAC,SG,28,0,619,0.431,16.5,0.551,0.087,0.250,0.145,0.069,0.449,0.447,0.625,0.406,0.425,0.421,0.411,0.471,0.745,0.036,9,0.137,0.235,0,0,,monkma01
174,Javonte Green,32,DET,SG,33,3,617,0.431,15.0,0.483,0.241,0.201,0.017,0.023,0.517,0.536,0.667,0.429,0.000,0.500,0.333,0.800,1.000,0.086,14,0.356,0.469,0,0,,greenja02
175,Herbert Jones,27,NOP,SF,22,22,616,0.407,14.7,0.536,0.284,0.144,0.052,0.057,0.464,0.462,0.582,0.357,0.100,0.455,0.344,0.542,0.968,0.041,7,0.356,0.344,0,0,,joneshe01
176,Luke Kornet,30,SAS,C,25,17,614,0.658,2.0,1.000,0.807,0.184,0.009,0.000,0.000,0.658,0.728,0.381,0.000,,,0.800,,0.325,36,,,0,0,,kornelu01
177,Jarrett Allen,27,CLE,C,24,24,613,0.595,4.9,0.973,0.450,0.428,0.068,0.027,0.027,0.606,0.790,0.453,0.467,0.333,0.167,0.847,1.000,0.243,48,0.667,0.000,0,0,,allenja01
178,Andre Drummond,32,PHI,C,29,14,612,0.519,7.1,0.765,0.593,0.167,0.006,0.000,0.235,0.556,0.604,0.370,1.000,,0.395,0.478,1.000,0.130,17,0.737,0.429,0,0,,drumman01
179,Collin Sexton,27,CHO,SG,25,11,611,0.480,13.0,0.677,0.257,0.249,0.089,0.082,0.323,0.522,0.696,0.418,0.458,0.364,0.391,0.368,0.765,0.000,0,0.126,0.545,0,0,,sextoco01
180,Isaac Okoro,25,CHI,SG,25,25,606,0.497,11.7,0.562,0.467,0.089,0.006,0.000,0.438,0.589,0.658,0.267,0.000,,0.378,0.714,0.964,0.030,5,0.635,0.383,0,0,,okorois01
181,Spencer Jones,24,DEN,SF,29,18,605,0.538,14.8,0.436,0.333,0.085,0.000,0.017,0.564,0.706,0.718,0.700,,0.500,0.409,0.778,1.000,0.060,7,0.697,0.370,0,0,,jonessp01
182,Pelle Larsson,24,MIA,SG,27,18,598,0.465,13.7,0.557,0.243,0.281,0.027,0.005,0.443,0.544,0.756,0.365,0.600,0.000,0.366,0.625,1.000,0.038,7,0.317,0.385,0,0,,larsspe01
183,Marcus Smart,31,LAL,SG,22,15,598,0.399,18.9,0.335,0.133,0.121,0.058,0.023,0.665,0.603,0.783,0.524,0.400,0.500,0.296,0.514,0.882,0.000,0,0.235,0.333,0,0,,smartma01
184,Sidy Cissoko,21,POR,SF,29,12,592,0.384,17.3,0.377,0.171,0.171,0.021,0.014,0.623,0.509,0.680,0.440,0.000,0.000,0.308,0.679,0.893,0.082,8,0.352,0.406,0,0,,cissosi01
185,Ryan Dunn,23,PHO,SF,26,11,588,0.444,11.7,0.592,0.391,0.172,0.024,0.006,0.408,0.540,0.652,0.379,0.000,0.000,0.304,0.648,1.000,0.154,21,0.710,0.286,0,0,,dunnry01
186,Tre Johnson,19,WAS,SG,25,7,587,0.453,18.4,0.478,0.053,0.196,0.180,0.049,0.522,0.496,0.692,0.458,0.500,0.417,0.414,0.431,0.830,0.008,1,0.188,0.458,0,0,,johnstr03
187,Keegan Murray,25,SAC,PF,16,15,586,0.431,15.5,0.630,0.088,0.273,0.208,0.060,0.370,0.529,0.737,0.610,0.400,0.308,0.263,0.528,1.000,0.042,9,0.175,0.143,0,0,,murrake02
188,Patrick Williams,24,CHI,PF,31,1,584,0.379,16.1,0.479,0.216,0.195,0.053,0.016,0.521,0.352,0.439,0.243,0.300,0.667,0.404,0.375,0.900,0.042,4,0.192,0.526,0,0,,willipa01
189,Dru Smith,28,MIA,SG,33,1,583,0.418,13.7,0.565,0.226,0.288,0.040,0.011,0.435,0.490,0.675,0.333,0.571,0.500,0.325,0.449,0.880,0.000,0,0.325,0.360,0,0,,smithdr01
190,Miles McBride,25,NYK,SG,22,9,583,0.448,20.4,0.313,0.090,0.050,0.100,0.075,0.687,0.460,0.778,0.200,0.250,0.533,0.442,0.414,0.852,0.005,1,0.283,0.410,0,0,,mcbrimi01
191,Lonzo Ball,28,CLE,PG,25,3,581,0.299,21.9,0.188,0.118,0.028,0.021,0.021,0.813,0.481,0.588,0.250,0.667,0.000,0.256,0.538,0.800,0.014,1,0.171,0.200,0,0,,balllo01
192,Giannis Antetokounmpo,31,MIL,PF,20,20,574,0.639,5.9,0.919,0.662,0.118,0.049,0.090,0.081,0.660,0.795,0.415,0.353,0.161,0.393,0.481,0.818,0.269,89,0.036,1.000,0,0,,antetgi01
193,RJ Barrett,25,TOR,SF,19,19,574,0.502,11.9,0.635,0.342,0.228,0.061,0.004,0.365,0.587,0.656,0.533,0.438,0.000,0.354,0.592,0.971,0.061,15,0.240,0.348,0,0,,barrerj01
194,Darius Garland,26,CLE,PG,19,19,573,0.414,16.4,0.545,0.157,0.179,0.149,0.060,0.455,0.459,0.571,0.438,0.425,0.313,0.361,0.313,0.636,0.000,0,0.139,0.235,0,0,,garlada01
195,Ja'Kobe Walter,21,TOR,SG,32,7,570,0.432,17.5,0.355,0.219,0.103,0.032,0.000,0.645,0.545,0.588,0.625,0.000,,0.370,0.667,1.000,0.077,10,0.370,0.486,0,0,,walteja01
196,Brice Sensabaugh,22,UTA,SF,31,3,569,0.415,18.3,0.389,0.085,0.175,0.111,0.017,0.611,0.538,0.600,0.610,0.346,0.750,0.336,0.837,0.958,0.051,10,0.308,0.409,0,0,,sensabr01
197,Ben Sheppard,24,IND,SG,23,11,567,0.364,17.1,0.409,0.175,0.156,0.052,0.026,0.591,0.476,0.667,0.292,0.500,0.250,0.286,0.767,0.962,0.019,3,0.374,0.294,0,0,,sheppbe01
198,Jalen Suggs,24,ORL,PG,22,22,564,0.466,17.0,0.474,0.167,0.159,0.100,0.048,0.526,0.622,0.810,0.525,0.520,0.500,0.326,0.338,0.860,0.024,5,0.129,0.412,0,0,,suggsja01
199,Will Richard,23,GSW,SG,29,12,560,0.532,17.1,0.383,0.208,0.130,0.026,0.019,0.617,0.763,0.938,0.550,0.250,1.000,0.389,0.622,0.946,0.039,6,0.442,0.381,0,0,,richawi02
200,Simone Fontecchio,30,MIA,SF,31,1,559,0.383,19.3,0.295,0.137,0.123,0.013,0.022,0.705,0.448,0.516,0.429,0.000,0.400,0.356,0.800,0.965,0.013,2,0.269,0.419,0,0,,fontesi01
201,Grayson Allen,30,PHO,SG,18,18,559,0.431,19.1,0.362,0.116,0.207,0.026,0.013,0.638,0.500,0.704,0.396,0.333,0.667,0.392,0.548,0.776,0.013,3,0.142,0.381,0,0,,allengr01
202,Maxime Raynaud,22,SAC,C,25,11,556,0.544,7.7,0.897,0.255,0.495,0.137,0.010,0.103,0.568,0.712,0.564,0.357,0.000,0.333,0.817,1.000,0.054,11,0.286,0.167,0,0,,raynama01
203,Ziaire Williams,24,BRK,SF,25,2,556,0.390,19.2,0.271,0.164,0.085,0.023,0.000,0.729,0.646,0.828,0.333,0.500,,0.295,0.613,0.974,0.068,12,0.341,0.205,0,0,,willizi02
204,Tyus Jones,29,ORL,PG,34,8,554,0.379,18.8,0.371,0.060,0.207,0.086,0.017,0.629,0.488,0.571,0.458,0.500,0.500,0.315,0.571,0.826,0.000,0,0.205,0.267,0,0,,jonesty01
205,Mike Conley,38,MIN,PG,29,6,554,0.350,19.8,0.275,0.092,0.125,0.050,0.008,0.725,0.364,0.545,0.267,0.333,0.000,0.345,0.917,0.933,0.000,0,0.241,0.381,0,0,,conlemi01
206,Dominick Barlow,22,PHI,PF,21,18,554,0.537,8.3,0.750,0.493,0.213,0.037,0.007,0.250,0.637,0.731,0.517,0.200,0.000,0.235,0.692,1.000,0.162,19,0.735,0.200,0,0,,barlodo01
207,Gradey Dick,22,TOR,SG,35,0,546,0.392,16.6,0.453,0.215,0.094,0.094,0.050,0.547,0.500,0.667,0.412,0.294,0.333,0.303,0.902,1.000,0.055,10,0.364,0.500,0,0,,dickgr01
208,Buddy Hield,33,GSW,SG,31,3,545,0.422,18.6,0.348,0.191,0.088,0.049,0.020,0.652,0.606,0.692,0.611,0.500,0.000,0.323,0.628,0.953,0.005,1,0.211,0.357,0,0,,hieldbu01
209,Jordan Walsh,21,BOS,PF,27,19,545,0.582,12.0,0.582,0.418,0.139,0.025,0.000,0.418,0.676,0.804,0.353,0.333,,0.451,0.542,1.000,0.172,17,0.412,0.429,0,0,,walshjo01
210,Nique Clifford,23,SAC,SG,29,3,544,0.412,15.1,0.556,0.150,0.242,0.131,0.033,0.444,0.494,0.826,0.378,0.350,0.400,0.309,0.524,0.905,0.046,5,0.324,0.273,0,0,,cliffni01
211,Tyrese Martin,26,BRK,SG,27,6,543,0.391,17.3,0.421,0.168,0.193,0.050,0.010,0.579,0.482,0.706,0.308,0.400,0.500,0.325,0.439,0.868,0.025,5,0.197,0.217,0,0,,martity01
212,Steven Adams,32,HOU,C,25,7,542,0.491,2.6,1.000,0.673,0.282,0.045,0.000,0.000,0.491,0.581,0.290,0.400,,,0.519,,0.155,12,,,0,0,,adamsst01
213,Zion Williamson,25,NOP,PF,19,12,542,0.554,3.7,0.989,0.596,0.348,0.037,0.007,0.011,0.561,0.679,0.387,0.400,0.000,0.000,0.480,,0.094,25,0.000,,0,0,,willizi01
214,Keon Ellis,26,SAC,SG,31,4,537,0.383,20.2,0.302,0.101,0.087,0.081,0.034,0.698,0.467,0.800,0.462,0.250,0.000,0.346,0.714,0.944,0.054,7,0.269,0.357,0,0,,elliske01
215,Isaiah Collier,21,UTA,PG,24,1,536,0.493,9.5,0.787,0.199,0.500,0.088,0.000,0.213,0.523,0.778,0.485,0.167,,0.379,0.393,0.909,0.007,1,0.310,0.333,0,0,,colliis01
216,Marvin Bagley III,26,WAS,PF,27,7,533,0.627,4.8,0.921,0.599,0.305,0.011,0.006,0.079,0.644,0.736,0.463,0.500,1.000,0.429,0.629,1.000,0.249,44,0.143,0.500,0,0,,baglema01
217,Jakob Poeltl,30,TOR,C,21,21,531,0.693,3.7,1.000,0.622,0.244,0.134,0.000,0.000,0.693,0.810,0.516,0.471,,,0.807,,0.087,11,,,0,0,,poeltja01
218,Isaiah Jackson,24,IND,C,29,14,530,0.585,3.0,1.000,0.655,0.310,0.021,0.014,0.000,0.585,0.667,0.477,0.000,0.000,,0.614,,0.162,20,,,0,0,,jacksis01
219,Caris LeVert,31,DET,SG,26,0,523,0.437,16.3,0.506,0.144,0.230,0.103,0.029,0.494,0.489,0.800,0.425,0.278,0.200,0.384,0.488,0.818,0.029,5,0.174,0.467,0,0,,leverca01
220,Mouhamed Gueye,23,ATL,PF,34,3,521,0.479,12.5,0.577,0.317,0.190,0.056,0.014,0.423,0.646,0.844,0.519,0.125,0.000,0.250,0.792,1.000,0.232,30,0.717,0.233,0,0,,gueyemo02
221,Khris Middleton,34,WAS,SF,21,21,521,0.446,15.0,0.720,0.143,0.149,0.257,0.171,0.280,0.492,0.640,0.308,0.489,0.533,0.327,0.435,0.688,0.000,0,0.204,0.300,0,0,,middlkh01
222,Collin Murray-Boyles,20,TOR,PF,28,4,519,0.520,8.8,0.753,0.527,0.160,0.020,0.047,0.247,0.558,0.671,0.333,0.333,0.143,0.405,0.762,1.000,0.160,17,0.243,0.222,0,0,,murraco01
223,Isaiah Joe,26,OKC,SG,25,0,517,0.457,22.1,0.179,0.071,0.038,0.038,0.033,0.821,0.606,0.692,0.714,0.571,0.333,0.424,0.950,0.969,0.005,1,0.305,0.500,0,0,,joeis01
224,Precious Achiuwa,26,SAC,C,26,13,516,0.497,7.3,0.845,0.394,0.394,0.052,0.006,0.155,0.534,0.656,0.459,0.250,0.000,0.292,0.629,1.000,0.116,13,0.458,0.182,0,0,,achiupr01
225,Brandon Miller,23,CHO,SF,17,17,515,0.399,16.4,0.532,0.150,0.208,0.126,0.048,0.468,0.468,0.750,0.377,0.378,0.214,0.321,0.507,0.886,0.065,18,0.109,0.400,0,0,,millebr02
226,Caleb Love,24,POR,SG,26,0,510,0.367,18.2,0.396,0.125,0.192,0.046,0.033,0.604,0.463,0.733,0.304,0.273,0.625,0.303,0.386,0.886,0.021,1,0.124,0.167,0,0,,loveca01
227,Josh Minott,23,BOS,PF,28,10,508,0.508,15.8,0.446,0.238,0.169,0.031,0.008,0.554,0.586,0.806,0.364,0.250,0.000,0.444,0.676,0.969,0.154,16,0.333,0.375,0,0,,minotjo01
228,Goga Bitadze,26,ORL,C,30,0,503,0.699,4.3,0.922,0.680,0.184,0.049,0.010,0.078,0.737,0.814,0.632,0.200,0.000,0.250,0.671,1.000,0.359,34,0.250,0.500,0,0,,bitadgo01
229,Justin Champagnie,24,WAS,SF,30,8,501,0.453,11.4,0.619,0.403,0.209,0.007,0.000,0.381,0.558,0.643,0.414,0.000,,0.283,0.563,1.000,0.079,8,0.340,0.222,0,0,,champju01
230,Kevin Porter Jr.,25,MIL,PG,15,15,499,0.473,14.8,0.606,0.227,0.172,0.094,0.113,0.394,0.520,0.652,0.429,0.421,0.478,0.400,0.281,0.594,0.049,9,0.213,0.471,0,0,,porteke02
