Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
26,Cade Cunningham,24,DET,PG,30,30,1071,0.468,13.1,0.693,0.181,0.305,0.141,0.066,0.307,0.529,0.661,0.489,0.459,0.500,0.330,0.244,0.426,0.048,26,0.049,0.222,0,0,,cunnica01
27,Donte DiVincenzo,29,MIN,SG,34,34,1069,0.410,20.7,0.247,0.091,0.108,0.033,0.014,0.753,0.506,0.576,0.436,0.500,0.600,0.379,0.622,0.961,0.014,5,0.213,0.379,0,0,,divindo01
28,Ryan Rollins,23,MIL,PG,34,29,1069,0.473,14.8,0.578,0.261,0.141,0.111,0.064,0.422,0.522,0.680,0.348,0.462,0.367,0.406,0.206,0.650,0.024,11,0.188,0.459,0,0,,rolliry01
29,James Harden,36,LAC,PG,30,30,1069,0.434,17.6,0.458,0.133,0.203,0.085,0.037,0.542,0.515,0.725,0.429,0.477,0.316,0.367,0.131,0.408,0.000,0,0.057,0.188,0,0,,hardeja01
30,Jalen Brunson,29,NYK,PG,30,30,1064,0.476,15.2,0.629,0.134,0.208,0.197,0.090,0.371,0.529,0.693,0.471,0.512,0.458,0.387,0.239,0.585,0.000,0,0.169,0.463,0,0,,brunsja01
31,Kon Knueppel,20,CHO,SF,32,31,1059,0.482,18.3,0.390,0.140,0.160,0.065,0.025,0.610,0.561,0.661,0.479,0.655,0.273,0.432,0.567,0.940,0.016,6,0.225,0.492,1,0,,knuepko01
32,Payton Pritchard,28,BOS,PG,32,32,1051,0.444,19.6,0.436,0.073,0.136,0.160,0.067,0.564,0.592,0.727,0.607,0.597,0.400,0.331,0.190,0.762,0.000,0,0.071,0.556,0,0,,pritcpa01
33,Derrick White,31,BOS,SG,31,31,1043,0.399,19.6,0.403,0.065,0.160,0.108,0.070,0.597,0.477,0.688,0.385,0.509,0.441,0.346,0.479,0.634,0.012,6,0.113,0.364,0,0,,whitede01
34,Devin Booker,29,PHO,SG,30,30,1027,0.457,15.3,0.699,0.116,0.189,0.250,0.143,0.301,0.525,0.734,0.452,0.507,0.481,0.301,0.347,0.700,0.015,6,0.072,0.250,1,0,,bookede01
35,Jaden McDaniels,25,MIN,PF,32,32,1020,0.506,11.7,0.702,0.243,0.304,0.116,0.039,0.298,0.543,0.705,0.473,0.429,0.429,0.417,0.609,0.933,0.077,23,0.454,0.469,0,0,,mcdanja02
36,Devin Vassell,25,SAS,SG,32,32,1020,0.422,19.3,0.437,0.073,0.070,0.181,0.113,0.563,0.477,0.621,0.357,0.472,0.467,0.379,0.590,0.929,0.028,9,0.214,0.354,0,0,,vassede01
37,Saddiq Bey,26,NOP,SF,34,26,1016,0.442,13.4,0.580,0.303,0.174,0.069,0.033,0.420,0.531,0.598,0.493,0.448,0.286,0.318,0.465,0.946,0.048,20,0.330,0.276,0,0,,beysa01
38,Karl-Anthony Towns,30,NYK,C,31,31,1016,0.476,11.5,0.667,0.385,0.222,0.022,0.039,0.333,0.531,0.605,0.471,0.400,0.222,0.366,0.540,0.964,0.070,28,0.039,0.667,0,0,,townska01
39,Jaylen Brown,29,BOS,SF,30,30,1014,0.505,14.1,0.743,0.148,0.236,0.174,0.185,0.257,0.552,0.789,0.474,0.438,0.571,0.370,0.311,0.475,0.023,9,0.091,0.467,0,0,,brownja02
