id,name,bat_side,side,avg_batter_y_position,avg_batter_x_position,avg_foot_sep,avg_stance_angle,avg_intercept_y_vs_batter,avg_intercept_y_vs_plate
646240,"Devers, Rafael",L,L,22.47486499681840,25.92262103714760,31.574737546824400,-64.60434304466650,28.54608446825630,6.071219471437910
682985,"Greene, Riley",L,L,29.87621971239880,24.652797116024700,28.034445535063000,-8.313538628189150,32.03076309095910,2.154543378560310
621566,"Olson, Matt",L,L,31.158577819461300,30.529094911438700,31.275590533291900,-10.44048179589070,32.50671443641320,1.3481366169519000
691718,"Crow-Armstrong, Pete",L,L,30.246037763052600,26.618493805432200,33.720864943113800,-2.3820296473234000,36.21258141828070,5.96654365522802
677594,"Rodríguez, Julio",R,R,20.331784209074700,29.705195771201900,31.259961567056700,0.9611987717910310,32.28875414351430,11.956969934439600
592518,"Machado, Manny",R,R,24.66874128731750,31.086610302750400,31.09653090600300,-41.16430826559540,30.81049903452870,6.141757747211260
596115,"Story, Trevor",R,R,25.700770144519700,29.912583101465600,36.06934256346560,-26.005338022634700,35.36004415548900,9.659274010969250
572233,"Walker, Christian",R,R,28.610879775980700,26.295575616510800,24.988014447256100,-16.316231164513700,31.447010492055100,2.836130716074500
553993,"Suárez, Eugenio",R,R,18.29803545217390,23.079728215511600,23.02376076441410,-23.533185708104000,35.655447081419400,17.3574116292455
521692,"Perez, Salvador",R,R,29.57036491779240,27.295105745142400,32.71579571085210,-20.367616165427600,30.428041243201300,0.8576763254089230
642715,"Adames, Willy",R,R,29.106121460433700,28.939620354429500,33.102522793663100,-2.6089966793458400,31.55291122254370,2.44678976210999
660271,"Ohtani, Shohei",L,L,28.985436377625700,31.931798658016500,36.73265894477760,-9.431626335046650,27.595199829033700,-1.3902365485919400
656941,"Schwarber, Kyle",L,L,21.07546240378540,25.30040937829350,29.792046011834500,-8.368399469533150,33.417299984902900,12.34183758111750
621020,"Swanson, Dansby",R,R,30.459930993784700,27.55990927064170,24.189239730525100,-12.497826488634200,32.39199968927400,1.9320686954892800
592206,"Castellanos, Nick",R,R,29.819511632110700,29.033869820248600,27.30608524079920,-19.544202416602000,30.778643995533500,0.9591323634228190
667670,"Rooker, Brent",R,R,31.381929357292600,27.21819481878020,27.785841353482600,-16.68386437112240,32.81616450330540,1.4342351460128000
624413,"Alonso, Pete",R,R,24.397816569211900,27.14281370792840,30.463362070933400,2.6905218395951100,28.26339091891310,3.865574349701240
671218,"Ramos, Heliot",R,R,24.939869809933700,27.63509213583180,29.718470302526200,-5.113629458812180,27.579312711462700,2.639442901528980
681624,"Pages, Andy",R,R,31.571935401991800,29.810323830787200,17.260001159099100,-16.880784532170800,31.281684448975600,-0.29025095301623700
641355,"Bellinger, Cody",L,L,32.7171493036583,21.03212304600010,25.156266720817500,-13.223871699822600,30.08291898461290,-2.6342303190454400
677951,"Witt Jr., Bobby",R,R,27.453606899873600,25.230537890627800,32.543894669646500,-17.03528120832810,27.7794664651842,0.32585956531061100
678882,"Rafaela, Ceddanne",R,R,30.490567920699500,26.782601397792300,23.3715896990251,-19.045948226165600,33.51967177225220,3.0291038515527
518692,"Freeman, Freddie",L,L,29.147584754584900,30.383468414367700,32.86724713806150,0.5189528580608030,26.993048239701800,-2.154536514883100
668227,"Arozarena, Randy",R,R,22.578664859080100,24.212685421247300,18.921886901005500,3.175294529081630,31.23593330453900,8.657268445458920
686469,"Pasquantino, Vinnie",L,L,28.613913897874900,31.15148868773630,39.37436865085050,-21.914605257849000,32.0871164254232,3.4732025275483400
