all_players_and_stats_2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK,PICK,YEAR,HEIGHT,NAME,,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,DUNKS %,CLOSE 2,CLOSE 2 %,FAR 2,FAR 2 %,FT,FT %,2P,2P %,3P/100,3P,3P %
18,-,Sr,6-7,Norchad Omier,0,Baylor,B12,34,PF/C,78.2,5.2,4.1,7.8,5.9,1.9,119.3,93.7,24.9,58.5,62.1,14.5,25.5,10.2,18.0,0.6,3.5,2.3,45.5,4.4,21-22,0.955,112-157,0.713,64-126,0.508,120-160,0.750,176-283,0.622,3.9,20-69,0.290
19,24,Sr,6-6,Nique Clifford,79,Colorado St.,MWC,36,Wing F,87.6,5.1,4.8,10.3,6.9,3.4,116.6,92.4,27.9,56.5,60.3,5.4,26.0,26.8,15.8,1.7,2.0,2.0,37.3,2.7,21-22,0.955,100-148,0.676,72-157,0.459,139-179,0.777,172-305,0.564,8.3,66-175,0.377
20,-,So,6-9,JT Toppin,78,Texas Tech,B12,33,PF/C,59.7,5.1,4.0,10.6,8.2,2.5,120.0,88.8,30.4,57.4,59.2,14.0,26.1,10.1,11.0,0.8,5.8,1.8,30.6,3.4,20-21,0.952,139-205,0.678,89-184,0.484,92-136,0.676,228-389,0.586,3.7,18-55,0.327
21,-,Jr,6-5,Richie Saunders,0,BYU,B12,35,Wing G,70.4,5.1,3.2,9.7,8.1,1.6,128.7,99.6,22.2,61.9,65.1,5.7,12.0,10.5,11.7,1.2,1.6,2.5,29.5,2.6,4-5,0.800,90-132,0.682,33-75,0.440,96-115,0.835,123-207,0.594,10.4,79-183,0.432
22,23,Fr,6-11,Asa Newell,98,Georgia,SEC,33,PF/C,72.5,5.1,3.6,8.6,7.2,1.4,127.8,96.4,23.0,58.0,61.2,14.0,13.5,6.7,9.8,0.8,3.8,2.0,38.4,3.3,57-64,0.891,137-188,0.729,28-75,0.373,101-135,0.748,165-263,0.627,5.4,26-89,0.292
23,-,Sr,6-1,Mark Sears,0,Alabama,SEC,37,Scoring PG,80.1,5.1,3.5,6.0,5.7,0.3,116.2,99.9,26.7,49.4,56.7,1.5,7.3,26.4,16.3,1.9,0.2,1.4,47.8,1.9,0-0,0.000,84-170,0.494,26-65,0.400,200-237,0.844,110-235,0.468,11.5,90-261,0.345
24,-,So,6-2,Dylan Darling,0,Idaho St.,BSky,26,Pure PG,84.3,5.1,2.8,7.1,6.0,1.0,120.9,108.6,29.3,50.7,57.8,1.2,11.4,35.4,14.7,2.3,1.4,2.8,54.5,1.8,0-0,0.000,74-123,0.602,37-105,0.352,162-200,0.810,111-228,0.487,9.2,50-139,0.360
25,-,Sr,6-11,Oscar Cluff,0,South Dakota St.,Sum,28,PF/C,68.0,5.0,3.1,10.7,9.0,1.7,129.7,100.3,28.8,62.6,66.6,17.2,32.2,21.6,15.8,1.3,3.5,1.1,55.1,3.3,12-13,0.923,127-204,0.623,51-84,0.607,126-162,0.778,178-288,0.618,0.4,4-6,0.667
26,-,Sr,6-9,Yaxel Lendeborg,0,UAB,Amer,36,PF/C,84.2,5.0,3.6,11.1,8.2,2.9,123.7,100.9,25.6,54.8,59.2,11.6,25.1,22.9,14.2,2.0,5.1,2.8,44.9,2.9,24-25,0.960,154-228,0.675,55-153,0.359,153-202,0.757,209-381,0.549,3.2,25-69,0.362
27,-,So,5-11,Josh Hubbard,81,Mississippi St.,SEC,34,Combo G,81.5,5.0,3.1,5.5,5.8,-0.3,120.3,104.3,24.8,50.9,56.0,0.9,6.5,18.2,8.8,2.5,0.3,1.6,29.4,2.3,3-3,1.000,56-91,0.615,38-99,0.384,130-148,0.878,94-190,0.495,16.0,108-313,0.345
28,-,Sr,6-11,Dawson Garcia,93.2,Minnesota,B10,32,Stretch 4,86.7,5.0,3.8,7.3,6.5,0.9,116.5,100.2,26.0,53.0,57.9,5.4,20.2,13.3,9.9,1.4,2.7,1.3,41.5,2.5,8-9,0.889,105-183,0.574,55-126,0.437,144-184,0.783,160-309,0.518,7.4,50-134,0.373
29,-,Jr,6-2,Donovan Dent,66.4,New Mexico,MWC,34,Pure PG,88.8,5.0,4.1,7.2,5.6,1.6,112.7,98.4,28.9,51.4,56.8,1.1,6.2,35.7,16.5,2.1,2.7,2.0,44.3,1.4,9-9,1.000,155-263,0.589,69-184,0.375,178-227,0.784,224-447,0.501,2.9,26-65,0.400
30,2,Fr,6-6,Dylan Harper,99.6,Rutgers,B10,29,Combo G,72.4,5.0,3.2,8.6,7.0,1.5,115.2,102.7,28.8,54.6,58.6,2.6,13.5,27.0,14.8,1.7,1.9,2.6,41.9,2.4,11-11,1.000,119-170,0.700,25-81,0.309,126-168,0.750,144-251,0.574,9.1,50-150,0.333
31,-,Sr,6-7,Brice Williams,14.8,Nebraska,B10,35,Wing G,84.0,4.9,3.7,6.9,5.8,1.2,115.4,99.9,27.6,54.1,60.9,1.9,11.4,18.1,14.6,1.2,1.0,1.8,44.2,2.1,12-13,0.923,85-125,0.680,75-175,0.429,189-214,0.883,160-300,0.533,8.9,68-184,0.370
32,-,Sr,6-4,Lamar Wilkerson,0,Sam Houston St.,CUSA,29,Combo G,87.9,4.9,2.2,5.7,6.9,-1.1,118.6,114.1,25.3,57.6,60.4,3.3,9.9,14.2,12.4,1.1,0.7,1.8,21.7,2.6,1-1,1.000,50-86,0.581,60-134,0.448,80-97,0.825,110-220,0.500,12.9,98-226,0.434
