all_players_and_stats_2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK,PICK,YEAR,HEIGHT,NAME,,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,DUNKS %,CLOSE 2,CLOSE 2 %,FAR 2,FAR 2 %,FT,FT %,2P,2P %,3P/100,3P,3P %
604,-,Sr,6-4,Tony Perkins,39.2,Missouri,SEC,32,Combo G,54.4,2.4,2.5,4.2,2.8,1.4,113.3,100.7,20.0,52.4,58.0,4.1,8.7,19.0,19.5,1.6,0.9,2.7,54.2,3.3,14-15,0.933,56-84,0.667,18-51,0.353,78-103,0.757,74-135,0.548,4.2,17-55,0.309
605,-,So,6-5,Malik Moore,0,Montana,BSky,29,Combo G,68.5,2.4,1.8,0.7,2.0,-1.3,115.1,114.3,20.3,56.0,59.3,1.1,11.5,14.3,11.6,1.9,0.4,1.5,25.8,2.7,4-4,1.000,33-56,0.589,34-77,0.442,58-71,0.817,67-133,0.504,9.6,58-142,0.408
606,-,Jr,6-9,Jaxon Kohler,88.8,Michigan St.,B10,37,PF/C,51.8,2.4,3.2,8.2,4.4,3.7,117.7,87.4,19.4,56.3,59.6,14.4,25.8,12.0,18.3,1.0,4.4,1.0,25.9,3.5,3-4,0.750,66-93,0.710,27-72,0.375,46-56,0.821,93-165,0.564,3.9,19-51,0.373
607,-,So,6-6,Coen Carr,93.8,Michigan St.,B10,37,Wing F,51.6,2.4,2.9,7.3,3.8,3.5,122.5,91.9,16.7,62.4,64.7,8.7,11.2,4.9,14.6,0.6,4.1,1.4,52.4,2.1,62-71,0.873,98-136,0.721,10-34,0.294,68-97,0.701,108-170,0.635,1.1,5-15,0.333
608,-,Sr,6-5,Dominique Ford,0,Southern Utah,WAC,23,Wing G,57.3,2.4,2.0,1.5,2.3,-0.8,107.8,111.0,24.9,49.8,54.7,2.5,8.9,11.6,12.9,0.9,0.3,2.0,26.3,2.6,0-0,0.000,25-45,0.556,46-89,0.517,65-73,0.890,71-134,0.530,12.8,45-144,0.313
609,-,Sr,6-4,Josh Dilling,0,Northern Kentucky,Horz,31,Combo G,76.0,2.4,2.0,0.8,2.4,-1.6,116.1,112.8,19.3,56.1,58.0,1.9,9.2,15.8,13.0,1.9,0.0,1.2,19.7,2.2,0-0,0.000,19-40,0.475,14-34,0.412,45-61,0.738,33-74,0.446,14.7,94-236,0.398
610,-,Sr,6-7,Kobe Stewart,0,Presbyterian,BSth,30,Wing G,85.1,2.4,2.6,1.6,2.0,-0.4,110.1,109.7,22.9,52.1,54.3,4.4,14.8,14.7,12.9,1.6,1.0,2.3,17.1,2.9,18-21,0.857,77-123,0.626,49-119,0.412,50-65,0.769,126-242,0.521,8.1,48-138,0.348
611,-,Sr,6-6,Nate Lliteras,0,North Florida,ASun,30,Wing F,74.3,2.4,1.5,0.7,2.1,-1.4,120.5,117.2,17.5,55.7,58.9,5.5,14.2,7.6,9.8,1.3,3.5,1.3,31.4,2.6,10-11,0.909,59-88,0.670,14-43,0.326,65-85,0.765,73-131,0.557,8.6,52-140,0.371
612,-,Sr,6-6,Dre Davis,79.2,Mississippi,SEC,34,Stretch 4,60.9,2.4,3.3,3.8,1.8,2.0,107.1,95.4,21.1,50.0,53.3,7.5,13.9,9.6,12.7,1.1,4.8,2.2,36.7,4.6,9-10,0.900,57-98,0.582,43-100,0.430,69-101,0.683,100-198,0.505,5.0,25-77,0.325
613,-,So,6-5,Isaiah Coleman,77.2,Seton Hall,BE,30,Wing G,78.0,2.4,3.4,1.9,1.5,0.4,98.2,102.0,27.3,43.4,48.2,5.5,15.1,13.1,13.5,0.9,0.6,2.8,31.8,2.5,12-12,1.000,72-152,0.474,54-141,0.383,102-134,0.761,126-293,0.430,7.9,38-129,0.295
614,-,Jr,6-2,Will McClendon,88.8,San Jose St.,MWC,23,Scoring PG,56.0,2.4,2.3,0.3,1.2,-0.9,109.1,111.3,20.5,44.8,50.3,1.7,9.3,18.4,8.6,3.1,0.1,1.4,31.0,2.3,0-0,0.000,21-58,0.362,20-56,0.357,62-75,0.827,41-114,0.360,10.3,45-128,0.352
615,-,So,6-2,Josiah Lake II,0,Oregon St.,WCC,32,Combo G,57.8,2.4,2.2,4.2,2.4,1.8,127.4,103.9,14.9,56.8,65.1,2.9,14.8,16.5,17.1,2.2,0.5,2.6,55.6,2.6,6-6,1.000,26-43,0.605,12-23,0.522,68-74,0.919,38-66,0.576,5.5,25-67,0.373
616,-,Jr,6-2,Jordan Battle,0,Coastal Carolina,SB,29,Combo G,75.3,2.4,1.5,0.2,2.1,-1.9,115.1,117.7,19.9,54.7,59.2,1.0,12.6,13.1,13.4,1.5,0.0,0.8,36.8,2.6,1-1,1.000,29-58,0.500,19-58,0.328,79-98,0.806,48-116,0.414,10.2,65-150,0.433
617,-,So,6-9,Baye Ndongo,75.2,Georgia Tech,ACC,34,PF/C,74.4,2.4,3.7,3.1,0.8,2.4,105.8,95.8,23.7,54.7,57.3,10.4,22.5,10.8,19.5,0.6,4.3,2.0,43.3,4.1,37-47,0.787,124-197,0.629,46-114,0.404,95-143,0.664,170-311,0.547,1.1,7-19,0.368
618,-,Jr,6-7,Zach Cleveland,0,Liberty,CUSA,31,Wing G,78.5,2.4,3.8,3.0,0.5,2.5,102.6,97.9,25.5,49.1,50.6,6.2,16.4,30.1,19.1,2.0,3.4,1.3,52.6,2.3,15-20,0.750,114-199,0.573,20-65,0.308,77-143,0.538,129-256,0.504,1.0,3-16,0.188
619,-,Jr,6-5,Devin Haid,0,Central Connecticut,NEC,30,Wing G,69.4,2.4,3.2,4.7,3.0,1.7,112.4,98.2,26.0,55.4,59.8,4.7,18.5,15.6,15.9,1.2,1.6,3.1,29.2,1.8,11-13,0.846,82-118,0.695,34-76,0.447,80-92,0.870,116-194,0.598,8.8,39-121,0.322
620,-,Sr,6-9,Keeshawn Kellman,0,Florida Gulf Coast,ASun,29,PF/C,58.6,2.4,2.4,1.1,1.5,-0.3,112.1,106.1,25.8,60.2,60.3,9.9,22.8,8.3,15.9,0.6,5.4,0.5,35.7,3.8,51-57,0.895,131-209,0.627,32-57,0.561,58-101,0.574,163-266,0.613,1.3,5-17,0.294
621,-,Sr,5-11,Jamarii Thomas,0,South Carolina,SEC,28,Scoring PG,64.8,2.4,3.2,2.6,1.3,1.3,101.0,100.7,25.7,45.3,51.6,2.3,9.5,22.2,17.5,1.3,0.8,2.5,51.0,3.4,4-4,1.000,42-95,0.442,18-63,0.286,108-147,0.735,60-158,0.380,9.3,47-130,0.362
622,-,Fr,6-5,Robert Hinton,81.4,Harvard,Ivy,26,Wing G,76.2,2.4,2.2,-0.1,0.8,-0.9,107.9,110.9,24.9,49.8,54.6,4.0,12.4,13.4,11.2,1.3,0.1,2.5,38.0,1.9,3-4,0.750,73-124,0.589,53-129,0.411,86-112,0.768,126-253,0.498,3.2,14-42,0.333
623,-,Jr,7-0,Noah Williamson,0,Bucknell,Pat,32,PF/C,68.5,2.4,2.9,2.4,1.9,0.5,104.6,102.4,30.8,57.7,59.4,6.1,25.0,12.7,18.5,0.5,4.5,1.7,63.2,3.4,26-29,0.897,152-226,0.673,16-50,0.320,142-230,0.617,168-276,0.609,5.5,28-88,0.318
624,-,Sr,6-4,Aidan Reichert,0,Mercyhurst,NEC,28,Wing G,74.9,2.4,1.5,-1.4,1.2,-2.6,109.4,117.4,25.5,51.0,55.3,9.0,13.9,12.1,10.9,1.0,1.4,2.0,35.5,3.7,0-0,0.000,84-145,0.579,38-101,0.376,83-108,0.769,122-246,0.496,4.2,22-58,0.379
625,-,Sr,6-4,Tevin Smith,0,Cleveland St.,Horz,33,Wing G,75.1,2.4,2.8,2.7,2.0,0.8,110.4,105.0,23.8,49.0,53.7,5.6,10.8,11.7,12.8,1.1,5.0,2.2,38.6,3.5,10-10,1.000,89-155,0.574,47-104,0.452,105-140,0.750,136-259,0.525,6.3,28-104,0.269
626,-,Fr,6-4,Ian Jackson,98.4,North Carolina,ACC,36,Wing G,57.5,2.4,2.5,3.5,3.1,0.4,109.3,101.6,22.4,54.7,57.2,2.1,10.5,7.0,13.0,0.7,0.9,1.3,28.4,2.6,8-11,0.727,75-134,0.560,16-45,0.356,68-94,0.723,91-179,0.508,10.1,60-152,0.395
627,-,Fr,6-4,Alex Chaikin,0,Lafayette,Pat,31,Wing G,64.0,2.4,1.7,1.7,3.3,-1.6,118.2,112.8,21.8,63.1,66.7,2.1,9.3,9.4,14.4,0.8,0.7,1.3,36.0,2.8,4-4,1.000,46-67,0.687,13-47,0.277,82-98,0.837,59-114,0.518,11.5,75-158,0.475
628,-,Sr,6-6,Simas Lukosius,33.2,Cincinnati,B12,33,Wing G,62.7,2.4,3.1,3.8,2.5,1.3,109.4,97.9,20.6,50.7,53.7,2.6,10.7,15.1,15.1,1.6,0.1,1.8,20.1,1.3,0-0,0.000,29-49,0.592,17-48,0.354,47-58,0.810,46-97,0.474,13.3,67-192,0.349
629,-,Jr,6-3,Dallin Hall,0,BYU,B12,32,Pure PG,53.7,2.4,2.4,3.3,2.4,1.0,113.4,103.0,17.9,50.9,54.0,2.9,7.2,27.0,21.6,2.6,0.3,1.7,39.6,2.8,2-2,1.000,28-49,0.571,4-18,0.222,45-67,0.672,32-67,0.478,7.6,36-102,0.353
630,-,Jr,6-6,Corey Washington,0,Wichita St.,Amer,33,PF/C,66.2,2.4,2.8,1.8,1.9,-0.2,106.1,101.0,26.5,48.4,52.9,11.0,19.7,4.0,13.6,0.3,3.1,2.0,48.3,3.9,19-27,0.704,94-179,0.525,36-96,0.375,115-167,0.689,130-275,0.473,4.6,25-71,0.352
631,-,Jr,6-6,Anthony Dell'Orso,0,Arizona,B12,37,Combo G,45.2,2.4,1.9,5.5,4.5,0.9,124.4,101.2,16.8,57.5,60.8,2.8,5.4,13.1,13.6,1.9,0.5,1.6,20.5,1.9,2-2,1.000,24-41,0.585,16-38,0.421,37-41,0.902,40-79,0.506,10.2,50-121,0.413
632,-,Sr,6-9,Basheer Jihad,0,Arizona St.,B12,33,Wing F,75.4,2.4,3.4,2.5,0.9,1.6,100.1,99.3,23.8,45.6,54.0,4.9,15.3,11.7,19.0,0.7,2.5,2.0,64.4,3.6,9-9,1.000,67-119,0.563,24-75,0.320,148-192,0.771,91-194,0.469,5.9,30-104,0.288
633,-,Sr,6-4,Jaden Akins,89.6,Michigan St.,B10,37,Wing G,67.9,2.4,3.7,3.9,1.7,2.2,105.1,92.8,22.9,46.4,49.2,2.8,11.5,11.1,10.1,1.4,1.1,1.7,19.0,2.1,14-16,0.875,85-139,0.612,33-105,0.314,64-84,0.762,118-244,0.484,11.4,58-198,0.293
634,-,Jr,6-4,Jayden Dawson,0,Loyola Chicago,A10,31,Combo G,63.9,2.4,2.9,3.0,2.4,0.6,108.9,103.8,22.2,51.7,54.1,1.2,10.6,13.2,10.4,1.6,2.5,2.0,22.0,3.1,4-4,1.000,35-63,0.556,26-62,0.419,58-79,0.734,61-125,0.488,15.0,83-234,0.355
635,-,Jr,6-3,Orlando Lovejoy,0,Detroit Mercy,Horz,29,Scoring PG,81.5,2.4,2.5,0.5,0.4,0.1,103.1,111.2,27.2,45.0,51.0,4.0,10.7,26.2,16.8,1.4,0.5,2.9,32.3,2.3,0-1,0.000,67-145,0.462,111-245,0.453,113-131,0.863,178-390,0.456,0.9,3-16,0.188
636,-,So,6-3,Josh Pascarelli,0,Marist,MAAC,30,Combo G,85.1,2.4,2.6,0.7,1.8,-1.1,110.6,109.7,22.8,55.1,56.7,1.3,10.9,15.1,13.5,1.4,0.6,1.3,14.2,1.4,3-3,1.000,31-49,0.633,64-138,0.464,43-56,0.768,95-187,0.508,12.5,81-206,0.393
637,-,Sr,6-8,Kendal Coleman,0,Cal Baptist,WAC,32,PF/C,64.3,2.4,2.5,1.5,2.2,-0.7,112.6,103.8,21.7,56.8,59.5,11.9,25.5,5.3,18.4,0.4,2.2,0.7,33.2,3.6,27-29,0.931,68-117,0.581,37-67,0.552,63-86,0.733,105-184,0.571,5.3,28-75,0.373
638,-,Jr,6-2,Jayden Pierre,73.2,Providence,BE,32,Combo G,85.2,2.4,2.8,-0.2,0.6,-0.8,104.5,108.1,20.8,49.6,52.5,2.6,6.7,18.3,19.8,1.3,0.8,1.1,19.9,3.0,6-6,1.000,44-77,0.571,25-69,0.362,54-68,0.794,69-146,0.473,10.8,67-196,0.342
639,-,So,6-0,Brock Harding,70.2,Iowa,B10,33,Pure PG,61.9,2.4,2.4,2.8,2.4,0.4,108.4,104.4,22.8,53.6,55.9,2.8,8.0,33.6,23.1,2.3,0.5,3.4,19.7,2.8,0-0,0.000,49-90,0.544,20-50,0.400,36-47,0.766,69-140,0.493,6.7,39-98,0.398
640,-,So,6-3,Sam Brown,0,Penn,Ivy,27,Combo G,82.2,2.4,1.5,-2.2,0.4,-2.6,109.9,118.4,21.0,51.0,55.5,2.1,9.2,14.4,12.3,1.6,0.5,1.3,29.1,2.4,1-1,1.000,41-75,0.547,32-70,0.457,72-86,0.837,73-145,0.503,10.0,52-151,0.344
641,-,Jr,6-8,Brandon Mitchell-Day,0,Dartmouth,Ivy,26,PF/C,66.0,2.4,2.9,4.0,1.9,2.0,111.2,100.6,26.3,54.3,59.0,7.9,22.7,22.7,16.9,1.3,2.8,1.4,38.0,3.9,11-11,1.000,97-158,0.614,13-41,0.317,78-97,0.804,110-199,0.553,4.5,19-56,0.339
642,-,Sr,6-3,Jlynn Counter,0,Middle Tennessee,CUSA,30,Combo G,63.7,2.4,2.6,3.8,2.3,1.5,111.3,103.8,20.7,50.8,53.9,1.5,15.2,24.2,15.0,2.4,1.4,2.2,25.9,2.3,2-2,1.000,57-84,0.679,21-58,0.362,52-69,0.754,78-142,0.549,8.6,38-124,0.306
643,-,Sr,6-6,Otis Frazier III,0,UTEP,CUSA,30,Wing G,73.6,2.4,3.1,4.6,3.1,1.4,104.7,101.2,24.6,50.0,54.6,7.7,14.2,15.1,16.7,1.1,2.7,4.1,43.6,2.8,10-13,0.769,72-122,0.590,16-44,0.364,94-129,0.729,88-166,0.530,8.5,40-130,0.308
644,-,Sr,6-6,Keonte Jones,0,Cal St. Northridge,BW,31,PF/C,77.3,2.4,3.7,5.8,2.6,3.3,109.0,97.6,23.4,51.0,54.9,10.0,22.6,22.9,20.3,1.6,6.2,3.1,52.9,4.1,16-17,0.941,118-198,0.596,14-61,0.230,103-154,0.669,132-259,0.510,1.8,11-32,0.344
645,-,Sr,6-6,Jeff Planutis,0,Mercyhurst,NEC,28,Combo G,85.0,2.4,1.5,0.3,2.2,-1.9,110.9,119.0,21.8,54.8,59.0,1.3,8.5,12.5,11.6,1.2,0.7,2.4,26.6,1.4,12-12,1.000,64-98,0.653,26-82,0.317,74-85,0.871,90-180,0.500,9.0,57-140,0.407
646,-,Jr,6-0,Micah Thomas,0,Northwestern St.,Slnd,30,Combo G,67.9,2.4,1.9,0.6,1.8,-1.2,110.8,111.9,22.8,53.5,57.6,1.9,6.5,11.1,15.6,0.9,0.0,2.1,23.2,2.8,0-0,0.000,19-52,0.365,48-101,0.475,63-70,0.900,67-153,0.438,11.3,63-149,0.423
647,-,Sr,6-11,Jacob Hutson,0,Northern Iowa,MVC,31,Stretch 4,58.0,2.3,2.4,1.2,1.0,0.2,107.9,102.9,27.6,52.3,56.1,6.4,15.9,15.5,14.5,1.1,2.6,1.1,55.8,3.6,16-17,0.941,77-141,0.546,26-50,0.520,97-145,0.669,103-191,0.539,5.6,22-69,0.319
648,-,Fr,7-0,Matas Vokietaitis,0,Florida Atlantic,Amer,33,C,43.7,2.3,1.6,1.8,2.8,-0.9,120.2,105.7,24.7,67.2,67.2,13.9,20.3,3.3,16.3,0.2,4.4,0.6,73.1,6.2,47-48,0.979,121-164,0.738,8-25,0.320,87-136,0.640,125-185,0.676,0.1,0-1,0.000
649,-,Jr,6-4,Tajavis Miller,37.6,North Dakota St.,Sum,28,Wing G,51.1,2.3,1.5,1.9,3.3,-1.3,119.5,110.8,24.0,59.0,62.0,6.9,18.0,11.8,13.3,1.1,1.1,0.8,44.8,3.1,2-2,1.000,53-77,0.688,19-41,0.463,65-90,0.722,72-118,0.610,8.3,31-83,0.373
650,-,Sr,6-8,AJ Allenspach,0,Army,Pat,31,PF/C,63.3,2.3,1.6,-1.1,0.5,-1.6,121.3,113.4,19.8,66.9,67.4,11.6,18.8,9.7,18.2,0.8,1.5,1.4,53.1,4.6,16-20,0.800,115-168,0.685,12-23,0.522,67-102,0.657,127-191,0.665,0.1,1-1,1.000
651,-,Jr,6-4,"Corey Floyd, Jr.",81.6,Providence,BE,29,Wing G,65.3,2.3,2.6,1.3,1.3,0.0,112.2,105.9,17.9,48.3,53.8,6.3,12.6,13.1,15.6,1.5,0.6,1.2,37.9,2.3,14-15,0.933,45-83,0.542,24-60,0.400,64-80,0.800,69-143,0.483,4.9,22-68,0.324
652,-,Sr,6-11,Enoch Boakye,94.6,Villanova,BE,36,C,57.0,2.3,2.5,1.9,0.6,1.3,131.5,100.6,10.9,65.9,69.0,12.4,21.7,2.3,18.3,0.4,4.2,0.9,67.0,4.1,36-37,0.973,53-74,0.716,5-14,0.357,44-59,0.746,58-88,0.659,0.0,0-0,0.000
653,-,Sr,6-1,Jestin Porter,0,Middle Tennessee,CUSA,32,Combo G,83.5,2.3,2.8,0.5,1.2,-0.6,105.8,107.8,21.4,49.8,53.0,2.5,7.1,7.5,13.3,0.7,0.6,1.8,20.5,1.9,0-0,0.000,59-115,0.513,31-79,0.392,69-84,0.821,90-194,0.464,11.4,76-216,0.352
654,-,Fr,6-8,Josh Harris,0,North Florida,ASun,28,PF/C,51.8,2.3,1.2,-1.8,1.4,-3.2,117.1,115.9,24.8,56.7,58.3,13.0,19.1,4.4,10.3,0.5,2.0,1.7,28.1,5.0,5-5,1.000,125-202,0.619,13-37,0.351,51-76,0.671,138-239,0.577,2.7,10-31,0.323
655,-,Sr,6-7,Aaron Gray,0,Indiana St.,MVC,24,Wing F,48.3,2.3,1.8,0.4,2.0,-1.6,118.8,110.5,19.0,59.9,63.4,8.4,20.9,4.7,13.8,0.5,0.9,1.3,50.6,3.7,17-18,0.944,69-96,0.719,2-10,0.200,62-84,0.738,71-103,0.689,5.9,19-63,0.302
656,-,Jr,6-7,Amarri Monroe,0,Quinnipiac,MAAC,31,Wing F,79.7,2.3,3.7,2.5,1.6,1.0,102.3,99.5,28.7,45.6,51.1,7.8,23.9,10.5,16.0,0.6,2.6,3.8,31.9,2.5,29-31,0.935,110-204,0.539,34-93,0.366,127-153,0.830,144-297,0.485,10.2,50-183,0.273
657,-,So,6-7,Camden Heide,74,Purdue,B10,36,Stretch 4,49.0,2.3,2.2,4.8,2.8,2.1,134.1,98.8,10.1,63.2,66.1,5.7,17.1,3.5,10.2,1.3,1.4,1.1,32.7,4.1,10-12,0.833,22-27,0.815,1-4,0.250,29-36,0.806,23-31,0.742,6.8,31-79,0.392
658,-,So,6-4,Isaac Bruns,0,South Dakota,Sum,30,Wing G,60.0,2.3,1.4,-0.5,2.3,-2.8,114.0,115.5,25.1,51.9,57.4,4.4,14.7,5.3,11.4,0.5,0.1,1.8,35.9,3.3,0-0,0.000,52-86,0.605,57-111,0.514,99-116,0.853,109-197,0.553,9.3,39-126,0.310
659,-,Jr,6-3,B.J. Edwards,78.8,SMU,ACC,35,Scoring PG,73.6,2.3,3.7,6.2,2.1,4.1,111.2,95.8,19.0,50.4,53.6,4.2,13.3,21.4,18.8,2.0,0.9,4.6,31.3,1.6,12-14,0.857,68-130,0.523,30-66,0.455,63-88,0.716,98-196,0.500,4.8,29-85,0.341
660,-,Jr,6-3,AC Bryant,0,Alabama A&M,SWAC,28,Wing G,59.9,2.3,1.5,3.7,4.4,-0.7,115.7,114.4,24.2,54.9,57.9,5.6,15.2,15.9,12.0,1.3,0.5,3.2,45.8,3.4,8-10,0.800,71-129,0.550,13-37,0.351,88-130,0.677,84-166,0.506,9.2,48-118,0.407
661,-,Sr,6-2,Lance Terry,0,Georgia Tech,ACC,31,Combo G,77.5,2.3,3.3,1.6,0.8,0.9,107.0,104.1,20.1,51.7,53.8,2.5,7.8,9.6,12.1,1.1,0.6,2.0,21.6,2.5,23-30,0.767,71-117,0.607,22-70,0.314,58-82,0.707,93-187,0.497,10.4,69-193,0.358
662,-,So,6-5,Blue Cain,85.8,Georgia,SEC,33,Wing G,67.5,2.3,3.4,4.9,2.2,2.7,112.1,95.4,17.5,50.4,54.7,3.0,14.7,10.1,15.4,1.2,0.3,3.0,26.7,2.3,2-3,0.667,45-87,0.517,16-36,0.444,58-69,0.841,61-123,0.496,8.8,46-135,0.341
663,-,Sr,6-4,Bez Mbeng,0,Yale,Ivy,29,Scoring PG,81.7,2.3,3.6,3.1,0.9,2.2,106.5,100.2,24.5,49.5,53.5,2.5,16.3,29.2,21.2,2.0,1.5,3.2,41.8,3.3,0-1,0.000,67-131,0.511,20-57,0.351,86-123,0.699,87-188,0.463,6.5,39-106,0.368
664,-,Sr,6-7,Elias Ralph,0,Pacific,WCC,31,Stretch 4,80.6,2.3,2.6,0.8,1.2,-0.4,104.0,108.9,24.9,49.2,53.3,8.6,19.1,13.1,16.4,0.8,4.1,1.5,34.2,3.7,26-29,0.897,97-171,0.567,38-85,0.447,93-124,0.750,135-256,0.527,6.2,29-107,0.271
665,-,Jr,6-6,Andrew Rohde,38.4,Virginia,ACC,30,Pure PG,72.4,2.3,2.9,2.6,1.6,1.0,105.9,104.4,20.4,52.4,54.7,1.1,10.6,29.7,18.9,2.3,0.9,2.5,18.8,2.2,0-0,0.000,25-60,0.417,33-70,0.471,34-44,0.773,58-130,0.446,7.3,43-104,0.413
666,-,Jr,6-11,Baba Miller,89.2,Florida Atlantic,Amer,33,Stretch 4,74.9,2.3,2.9,4.5,2.7,1.8,111.1,103.8,19.8,56.3,57.8,5.5,19.5,16.3,17.9,1.4,6.0,1.4,33.7,3.2,36-39,0.923,87-123,0.707,17-52,0.327,61-96,0.635,102-173,0.590,6.4,39-112,0.348
667,-,Sr,6-8,Amar Kuljuhovic,0,North Dakota,Sum,30,PF/C,63.3,2.3,1.4,0.6,2.6,-2.0,113.0,115.8,23.5,56.5,59.1,11.8,19.2,15.2,19.3,1.0,1.0,0.9,59.8,3.2,0-2,0.000,92-149,0.617,18-33,0.545,87-134,0.649,110-182,0.604,3.1,11-42,0.262
668,-,Sr,6-6,Christian Shumate,0,McNeese St.,Slnd,33,PF/C,69.8,2.3,3.2,3.4,2.3,1.1,116.0,98.6,18.1,64.0,60.6,10.8,16.6,5.5,15.2,0.6,6.1,1.4,42.8,2.7,56-60,0.933,118-162,0.728,9-19,0.474,41-98,0.418,127-181,0.702,3.1,13-48,0.271
669,-,Sr,6-5,Howie Fleming Jr.,0,UT Rio Grande Valley,Slnd,27,Wing G,68.8,2.3,2.1,1.5,1.9,-0.4,112.7,110.1,21.4,62.8,64.8,5.6,17.6,14.7,22.4,1.1,0.7,1.8,35.4,3.5,6-6,1.000,78-107,0.729,13-35,0.371,58-80,0.725,91-142,0.641,6.4,34-84,0.405
670,-,Sr,6-1,Alec Millender,0,IU Indy,Horz,29,Scoring PG,77.8,2.3,0.5,-3.1,-0.1,-3.1,123.4,126.9,13.9,60.2,63.3,0.9,6.6,22.2,18.8,3.0,0.3,1.5,31.9,3.5,0-0,0.000,16-32,0.500,9-17,0.529,42-53,0.792,25-49,0.510,7.9,50-117,0.427
671,-,Jr,6-4,George Beale Jr.,0,Hampton,CAA,30,Wing G,63.1,2.3,1.9,1.4,2.0,-0.6,112.8,110.5,24.4,53.3,55.8,2.7,8.5,8.4,12.1,0.8,0.2,2.2,14.9,3.8,2-2,1.000,41-66,0.621,52-123,0.423,43-50,0.860,93-189,0.492,11.7,57-146,0.390
672,-,Sr,6-7,Peter Filipovity,0,New Mexico St.,CUSA,27,Wing F,64.5,2.3,3.2,3.6,2.5,1.1,103.3,98.3,27.1,48.2,52.4,9.7,24.7,10.5,16.1,0.6,0.0,1.8,46.3,3.1,0-0,0.000,79-129,0.612,34-92,0.370,88-130,0.677,113-221,0.511,4.8,15-60,0.250
673,-,Jr,6-9,Ezra Ausar,0,Utah,B12,31,PF/C,54.0,2.3,2.6,1.9,1.2,0.6,105.1,99.7,27.0,52.0,55.7,9.9,13.5,7.9,16.3,0.5,1.7,2.1,77.9,4.4,37-44,0.841,113-187,0.604,17-52,0.327,123-197,0.624,130-239,0.544,1.1,1-14,0.071
674,-,Sr,6-2,Rahsool Diggins,88.6,Massachusetts,A10,31,Combo G,84.7,2.3,2.5,0.1,1.3,-1.1,101.6,110.8,25.2,45.4,49.2,1.9,6.8,15.5,14.3,1.2,0.7,2.0,20.1,2.4,1-1,1.000,53-118,0.449,42-98,0.429,83-99,0.838,95-216,0.440,14.6,86-277,0.310
675,-,Sr,6-4,Sheldon Edwards Jr.,0,Loyola Chicago,A10,36,Combo G,69.7,2.3,2.6,3.5,3.5,-0.1,114.3,105.3,19.0,55.5,57.9,1.3,13.7,14.3,12.7,1.8,0.1,1.5,13.7,1.5,7-8,0.875,21-37,0.568,11-25,0.440,41-46,0.891,32-62,0.516,16.1,103-274,0.376
676,-,Sr,6-5,James White,61.8,New Orleans,Slnd,20,Wing G,54.1,2.3,1.9,-0.7,2.4,-3.1,97.1,115.3,29.6,47.2,49.5,3.6,19.0,14.1,14.1,0.8,0.5,1.5,26.1,1.4,14-15,0.933,83-149,0.557,35-105,0.333,58-90,0.644,118-254,0.465,7.7,30-91,0.330
677,-,Jr,6-11,Brody Rowbury,0,Southeastern Louisia,Slnd,30,PF/C,69.2,2.3,2.2,0.1,0.5,-0.5,123.0,108.9,15.6,54.3,60.9,9.3,13.5,6.6,12.7,1.0,1.7,1.1,66.3,3.8,1-2,0.500,50-90,0.556,28-56,0.500,84-108,0.778,78-146,0.534,1.2,7-17,0.412
678,-,Sr,6-8,Jalen Haynes,0,George Mason,A10,35,PF/C,62.8,2.3,3.5,2.8,0.8,2.0,102.9,92.1,30.6,55.4,57.1,10.0,21.5,14.4,20.0,0.6,3.4,1.8,53.5,4.6,18-19,0.947,158-238,0.664,28-90,0.311,112-184,0.609,186-328,0.567,1.1,3-16,0.188
679,-,Sr,6-0,Kentrell Pullian,0,Milwaukee,Horz,30,Wing G,67.4,2.3,2.6,3.0,2.1,0.9,116.7,104.1,20.3,54.3,58.5,4.5,18.0,10.3,16.6,1.0,0.7,2.4,38.3,3.0,3-3,1.000,66-111,0.595,11-29,0.379,79-102,0.775,77-140,0.550,8.9,45-126,0.357
680,-,Sr,6-7,Wesley Robinson,0,Manhattan,MAAC,30,Stretch 4,73.0,2.3,1.7,-0.8,0.8,-1.6,116.8,115.1,19.1,52.4,57.4,7.3,15.6,11.9,14.5,1.3,2.0,1.4,36.2,4.3,6-6,1.000,52-99,0.525,21-48,0.438,76-92,0.826,73-147,0.497,7.1,40-107,0.374
681,-,Jr,6-7,Brendan Terry,0,Southeast Missouri S,OVC,30,PF/C,59.4,2.3,2.4,2.6,0.8,1.8,116.3,102.5,22.9,63.8,65.7,8.1,15.6,10.8,18.1,0.8,3.4,2.7,58.6,4.8,17-21,0.810,109-165,0.661,19-37,0.514,82-119,0.689,128-202,0.634,0.1,1-1,1.000
682,-,Sr,6-5,Chris Manon,0,Vanderbilt,SEC,33,Wing G,45.3,2.3,2.5,9.6,3.7,5.9,124.0,92.0,17.7,56.3,62.2,8.8,15.0,12.3,15.1,1.5,6.4,5.3,61.5,5.9,14-15,0.933,58-91,0.637,6-10,0.600,65-83,0.783,64-101,0.634,3.2,8-34,0.235
